Tarih;Konya - Karkent;;;;;
;PM10 ( µg/m3 );SO2 ( µg/m3 );CO ( µg/m3 );NO2 ( µg/m3 );NOX ( µg/m3 );O3 ( µg/m3 )
01.01.2021 00:00:56;123,69;24,52;3.077,51;77,04;348,93;4,50
01.01.2021 01:00:56;147,94;16,05;2.243,09;65,35;277,82;2,90
01.01.2021 02:00:56;141,56;8,19;1.161,89;51,79;156,81;2,21
01.01.2021 03:00:56;110,57;7,10;1.095,69;49,38;143,10;3,06
01.01.2021 04:00:56;92,88;5,79;1.030,28;46,28;129,41;3,12
01.01.2021 05:00:56;86,78;4,41;932,87;40,04;103,14;2,97
01.01.2021 06:00:56;87,25;4,40;1.097,27;37,19;102,87;3,07
01.01.2021 07:00:56;96,13;3,63;1.018,21;34,97;95,64;2,89
01.01.2021 08:00:56;93,45;2,94;978,23;35,58;95,87;2,86
01.01.2021 09:00:56;92,28;3,97;1.234,88;39,72;135,86;3,36
01.01.2021 10:00:56;110,63;8,01;1.695,40;51,49;197,26;40,16
01.01.2021 11:00:56;152,52;18,25;1.670,92;57,18;192,91;42,54
01.01.2021 12:00:56;191,40;28,74;1.131,15;51,51;140,04;45,37
01.01.2021 13:00:56;195,34;26,30;836,21;39,37;96,83;52,53
01.01.2021 14:00:56;180,04;19,75;636,02;25,77;59,68;59,80
01.01.2021 15:00:56;150,87;12,27;506,97;18,79;44,98;62,65
01.01.2021 16:00:56;106,54;5,74;445,03;17,84;39,52;62,84
01.01.2021 17:00:56;73,30;5,31;417,09;23,69;43,26;62,00
01.01.2021 18:00:56;58,31;6,31;619,46;34,99;61,35;57,42
01.01.2021 19:00:56;52,19;11,39;1.369,68;68,61;158,22;46,11
01.01.2021 20:00:56;66,36;15,97;1.841,09;91,72;239,98;39,28
01.01.2021 21:00:56;93,64;14,84;1.388,92;79,27;184,70;38,93
01.01.2021 22:00:56;107,54;11,69;1.093,08;67,03;133,83;38,69
01.01.2021 23:00:56;107,77;10,66;1.189,91;61,41;125,90;38,72
02.01.2021 00:00:56;108,45;11,02;1.516,23;59,45;147,26;3,65
02.01.2021 01:00:56;109,05;11,69;2.056,35;60,33;183,13;3,56
02.01.2021 02:00:56;109,43;9,98;1.950,48;55,42;166,94;3,07
02.01.2021 03:00:56;112,92;7,09;1.364,70;48,20;121,74;2,46
02.01.2021 04:00:56;114,76;5,82;1.086,48;44,03;93,56;2,31
02.01.2021 05:00:56;110,31;5,69;1.075,23;42,20;95,62;2,46
02.01.2021 06:00:56;100,61;5,52;1.193,60;41,81;107,49;2,53
02.01.2021 07:00:56;86,04;5,22;1.516,17;42,75;118,58;2,64
02.01.2021 08:00:56;77,85;7,06;1.880,96;45,83;150,33;2,89
02.01.2021 09:00:56;81,68;9,77;2.101,84;47,82;214,25;38,30
02.01.2021 10:00:56;159,55;11,51;2.599,35;54,12;244,35;40,18
02.01.2021 11:00:56;263,81;18,32;2.995,63;72,38;239,43;41,81
02.01.2021 12:00:56;257,91;17,69;2.080,33;71,58;179,99;46,43
02.01.2021 13:00:56;176,16;11,77;1.152,57;59,42;114,20;53,31
02.01.2021 14:00:56;106,57;10,37;841,21;40,46;76,47;59,01
02.01.2021 15:00:56;66,15;6,52;541,34;17,84;41,03;63,36
02.01.2021 16:00:56;40,36;4,61;458,44;17,11;39,94;63,86
02.01.2021 17:00:56;23,18;4,27;423,42;19,83;41,79;62,94
02.01.2021 18:00:56;24,44;5,67;582,10;32,17;55,57;56,99
02.01.2021 19:00:56;55,32;9,32;976,87;62,43;120,04;45,23
02.01.2021 20:00:56;94,14;11,79;1.621,08;80,76;217,45;39,03
02.01.2021 21:00:56;127,62;13,32;2.051,84;79,70;245,59;38,87
02.01.2021 22:00:56;143,76;18,55;2.004,13;73,83;186,15;38,78
02.01.2021 23:00:56;132,43;19,39;1.766,61;66,42;130,65;38,52
03.01.2021 00:00:56;102,78;15,76;1.522,30;60,31;103,36;3,81
03.01.2021 01:00:56;81,47;14,59;1.390,58;54,38;85,34;4,31
03.01.2021 02:00:56;72,92;13,55;1.452,21;52,28;90,60;3,64
03.01.2021 03:00:56;68,73;10,19;1.793,17;49,61;148,74;3,22
03.01.2021 04:00:56;89,91;6,43;1.869,89;43,41;170,08;2,70
03.01.2021 05:00:56;117,24;5,18;1.592,02;41,61;136,70;1,93
03.01.2021 06:00:56;116,20;4,24;1.367,94;40,00;115,63;1,77
03.01.2021 07:00:56;94,69;4,17;1.438,62;37,42;131,47;2,14
03.01.2021 08:00:56;86,88;3,50;1.338,04;35,78;126,09;2,16
03.01.2021 09:00:56;89,07;2,49;1.097,90;34,24;92,76;36,91
03.01.2021 10:00:56;81,12;5,09;1.188,73;39,30;125,24;37,90
03.01.2021 11:00:56;82,35;7,41;1.012,76;41,20;132,87;39,71
03.01.2021 12:00:56;92,18;7,12;717,37;37,12;94,68;42,86
03.01.2021 13:00:56;91,88;6,41;610,61;33,53;71,04;47,90
03.01.2021 14:00:56;79,93;7,35;562,14;30,91;58,23;52,11
03.01.2021 15:00:56;71,09;8,95;570,13;32,19;57,11;53,05
03.01.2021 16:00:56;64,86;7,70;538,05;29,84;52,18;54,73
03.01.2021 17:00:56;57,07;6,65;519,79;27,40;47,44;56,24
03.01.2021 18:00:56;55,08;6,59;558,83;37,57;58,34;50,38
03.01.2021 19:00:56;62,85;6,08;750,77;54,90;85,73;41,67
03.01.2021 20:00:56;73,93;5,93;902,69;61,75;101,03;37,84
03.01.2021 21:00:56;79,04;7,90;1.023,05;62,75;156,04;37,52
03.01.2021 22:00:56;83,49;14,17;1.517,80;63,55;200,71;38,30
03.01.2021 23:00:56;99,48;16,85;2.046,06;62,54;263,83;3,77
04.01.2021 00:00:56;130,26;13,72;2.092,91;57,62;315,56;3,33
04.01.2021 01:00:56;152,62;9,98;1.792,33;49,88;275,10;2,81
04.01.2021 02:00:56;155,88;7,86;1.615,05;45,37;239,60;2,91
04.01.2021 03:00:56;155,47;7,06;1.586,84;42,85;218,31;2,83
04.01.2021 04:00:56;154,57;5,79;1.530,52;42,84;192,99;2,32
04.01.2021 05:00:56;151,31;4,81;1.584,55;43,73;157,29;2,30
04.01.2021 06:00:56;144,57;6,47;2.154,49;44,12;160,29;2,62
04.01.2021 07:00:56;138,48;8,58;2.333,33;41,70;180,31;2,68
04.01.2021 08:00:56;136,66;5,56;1.771,87;38,49;170,00;2,48
04.01.2021 09:00:56;132,87;3,06;2.039,70;49,06;231,72;2,79
04.01.2021 10:00:56;145,62;3,07;2.291,42;55,75;278,91;38,24
04.01.2021 11:00:56;169,01;5,79;2.038,77;60,04;257,49;39,15
04.01.2021 12:00:56;190,70;28,91;2.495,72;79,57;284,23;40,74
04.01.2021 13:00:56;225,01;58,03;2.105,02;77,50;231,41;43,86
04.01.2021 14:00:56;233,77;52,19;1.160,73;58,57;133,97;49,52
04.01.2021 15:00:56;201,00;40,05;905,27;44,64;95,55;54,66
04.01.2021 16:00:56;163,14;35,00;735,02;35,71;78,82;57,26
04.01.2021 17:00:56;133,05;21,39;642,72;34,57;76,22;56,59
04.01.2021 18:00:56;110,39;14,66;844,22;49,89;107,94;48,35
04.01.2021 19:00:56;110,39;15,93;1.754,66;78,21;245,84;40,59
04.01.2021 20:00:56;205,98;17,63;3.238,57;101,05;453,26;39,45
04.01.2021 21:00:56;344,52;20,76;4.536,73;112,19;613,39;39,40
04.01.2021 22:00:56;398,53;26,05;5.596,92;113,75;721,34;4,77
04.01.2021 23:00:56;431,43;26,57;6.221,28;114,85;768,57;5,30
05.01.2021 00:00:56;437,79;27,56;5.985,08;104,57;706,80;40,35
05.01.2021 01:00:56;424,39;42,94;6.391,21;86,84;571,38;44,77
05.01.2021 02:00:56;424,48;37,03;5.084,88;67,26;424,68;46,75
05.01.2021 03:00:56;336,41;17,94;3.218,76;53,92;336,81;44,72
05.01.2021 04:00:56;261,07;21,03;3.830,36;54,22;298,02;45,37
05.01.2021 05:00:56;246,09;22,38;3.335,56;51,34;206,21;44,82
05.01.2021 06:00:56;180,92;19,96;2.305,80;47,26;134,31;44,64
05.01.2021 07:00:56;109,81;18,56;2.188,50;49,29;135,58;44,83
05.01.2021 08:00:56;81,21;15,40;2.164,99;51,21;169,40;44,50
05.01.2021 09:00:56;108,95;14,57;2.306,55;59,64;245,77;44,58
05.01.2021 10:00:56;176,05;18,82;2.802,55;78,70;348,45;44,96
05.01.2021 11:00:56;207,30;24,11;2.557,74;81,31;299,77;45,45
05.01.2021 12:00:56;168,87;26,05;1.791,24;71,84;180,49;47,49
05.01.2021 13:00:56;125,51;27,11;1.300,85;65,15;146,36;52,30
05.01.2021 14:00:56;107,05;25,25;883,83;51,69;113,67;57,82
05.01.2021 15:00:56;90,23;16,19;747,57;38,25;86,05;62,46
05.01.2021 16:00:56;72,23;7,95;645,96;29,74;68,21;66,05
05.01.2021 17:00:56;56,56;10,10;617,41;37,36;80,66;60,19
05.01.2021 18:00:56;58,17;21,43;1.275,91;67,65;193,52;49,13
05.01.2021 19:00:56;92,56;29,18;1.619,73;79,30;223,28;47,45
05.01.2021 20:00:56;113,20;23,77;1.346,51;73,39;158,31;50,04
05.01.2021 21:00:56;99,09;19,41;1.115,42;68,49;134,22;50,47
05.01.2021 22:00:56;73,50;17,12;835,82;50,94;94,39;52,86
05.01.2021 23:00:56;51,32;14,69;801,23;37,71;68,93;55,29
06.01.2021 00:00:56;46,16;14,07;712,40;42,01;71,75;51,49
06.01.2021 01:00:56;46,72;12,35;786,31;51,05;89,91;42,85
06.01.2021 02:00:56;45,69;18,11;1.101,85;54,74;94,80;38,46
06.01.2021 03:00:56;47,40;21,31;1.449,98;54,29;114,86;38,38
06.01.2021 04:00:56;65,24;14,47;1.650,63;49,98;133,91;37,97
06.01.2021 05:00:56;93,01;8,64;1.469,95;45,82;121,78;2,60
06.01.2021 06:00:56;107,95;6,14;1.130,36;42,39;98,89;2,35
06.01.2021 07:00:56;101,90;5,40;1.025,63;40,81;93,62;2,40
06.01.2021 08:00:56;86,29;5,29;1.451,27;49,11;150,52;2,54
06.01.2021 09:00:56;75,24;6,69;2.612,12;72,17;309,34;2,93
06.01.2021 10:00:56;95,90;11,48;3.671,34;98,90;478,41;3,69
06.01.2021 11:00:56;148,30;16,66;3.074,95;105,63;429,70;34,47
06.01.2021 12:00:56;180,91;42,17;1.767,29;88,20;262,04;35,70
06.01.2021 13:00:56;179,84;47,41;1.206,99;66,90;161,86;39,32
06.01.2021 14:00:56;159,30;41,08;999,35;56,40;118,36;43,73
06.01.2021 15:00:56;134,53;43,97;853,36;48,61;99,97;48,76
06.01.2021 16:00:56;118,69;24,46;681,17;38,85;78,37;53,38
06.01.2021 17:00:56;100,52;15,00;606,85;36,10;71,94;53,34
06.01.2021 18:00:56;85,77;15,38;1.022,78;60,00;124,59;45,18
06.01.2021 19:00:56;97,75;16,28;2.226,67;94,16;289,22;36,34
06.01.2021 20:00:56;223,14;19,21;3.680,02;120,14;520,64;34,31
06.01.2021 21:00:56;329,44;19,54;4.054,43;119,91;553,59;33,85
06.01.2021 22:00:56;280,59;18,29;3.888,09;97,19;453,96;33,66
06.01.2021 23:00:56;226,22;19,68;4.042,19;89,58;479,23;3,72
07.01.2021 00:00:56;216,43;19,84;4.176,08;85,09;504,97;3,69
07.01.2021 01:00:56;217,78;18,14;4.223,18;79,22;534,78;4,43
07.01.2021 02:00:56;239,01;13,03;3.237,26;69,83;465,38;4,57
07.01.2021 03:00:56;233,70;8,00;2.245,14;57,71;315,27;4,39
07.01.2021 04:00:56;196,52;7,47;2.478,93;55,10;291,71;4,71
07.01.2021 05:00:56;192,55;9,22;2.942,81;56,32;339,80;4,81
07.01.2021 06:00:56;222,19;10,37;3.214,36;53,92;375,69;5,03
07.01.2021 07:00:56;261,52;9,79;3.296,30;49,02;361,30;5,04
07.01.2021 08:00:56;266,01;6,72;3.074,93;43,62;304,85;4,69
07.01.2021 09:00:56;253,53;4,48;3.230,86;48,35;313,39;5,59
07.01.2021 10:00:56;283,42;5,13;3.231,97;54,80;331,40;5,93
07.01.2021 11:00:56;364,91;7,44;3.191,05;75,58;351,86;36,01
07.01.2021 12:00:56;441,80;12,87;2.859,03;98,95;352,42;37,41
07.01.2021 13:00:56;376,35;17,64;1.719,45;73,74;216,83;41,73
07.01.2021 14:00:56;203,11;15,32;1.067,63;40,10;111,89;50,52
07.01.2021 15:00:56;109,32;15,98;813,72;30,40;87,55;55,15
07.01.2021 16:00:56;67,37;14,76;726,85;31,15;82,68;54,53
07.01.2021 17:00:56;51,17;10,58;794,42;44,55;92,69;50,78
07.01.2021 18:00:56;79,24;15,11;1.247,33;73,64;156,52;41,93
07.01.2021 19:00:56;176,33;17,22;1.857,46;91,20;268,35;35,98
07.01.2021 20:00:56;304,93;15,65;2.492,59;93,07;371,54;35,35
07.01.2021 21:00:56;339,51;13,98;2.577,90;87,58;375,37;35,27
07.01.2021 22:00:56;281,73;17,49;2.718,39;79,33;354,27;35,75
07.01.2021 23:00:56;247,22;21,90;3.141,92;79,30;379,87;36,03
08.01.2021 00:00:56;269,53;18,97;2.738,33;73,16;362,99;5,56
08.01.2021 01:00:56;267,47;15,40;2.339,52;62,98;345,79;4,20
08.01.2021 02:00:56;227,30;20,52;2.626,47;56,78;302,07;3,71
08.01.2021 03:00:56;202,34;27,16;2.929,04;55,29;222,88;4,27
08.01.2021 04:00:56;203,33;20,83;2.412,10;47,90;182,16;3,68
08.01.2021 05:00:56;193,47;11,67;1.779,38;39,25;167,42;3,19
08.01.2021 06:00:56;170,93;7,98;1.391,40;35,53;137,70;2,85
08.01.2021 07:00:56;141,75;6,04;1.150,51;39,05;123,16;2,75
08.01.2021 08:00:56;118,25;5,90;1.422,19;45,65;175,52;3,24
08.01.2021 09:00:56;127,61;7,39;2.376,08;54,92;300,97;3,48
08.01.2021 10:00:56;188,24;12,96;2.760,49;66,22;371,02;34,02
08.01.2021 11:00:56;250,49;43,78;1.857,19;65,56;272,40;35,39
08.01.2021 12:00:56;240,11;53,96;1.137,14;60,34;171,49;38,41
08.01.2021 13:00:56;186,32;25,55;857,67;43,40;117,18;46,72
08.01.2021 14:00:56;137,98;14,63;610,34;24,69;67,65;56,51
08.01.2021 15:00:56;94,66;5,85;544,14;20,99;53,96;59,68
08.01.2021 16:00:56;62,31;4,86;536,43;22,84;53,68;58,45
08.01.2021 17:00:56;48,31;4,18;521,36;26,68;54,76;56,26
08.01.2021 18:00:56;38,74;5,81;584,59;38,43;66,62;50,64
08.01.2021 19:00:56;40,18;9,47;681,89;57,41;88,11;43,86
08.01.2021 20:00:56;52,70;14,71;791,75;73,48;114,25;39,37
08.01.2021 21:00:56;58,68;22,37;944,44;78,63;118,00;37,60
08.01.2021 22:00:56;63,01;27,87;1.229,49;76,87;113,83;36,92
08.01.2021 23:00:56;76,46;32,67;1.591,90;74,30;111,24;6,24
09.01.2021 00:00:56;92,92;33,25;1.695,92;66,51;92,99;6,85
09.01.2021 01:00:56;100,66;26,62;1.602,92;56,49;80,65;8,68
09.01.2021 02:00:56;102,46;20,82;1.623,29;59,29;92,65;6,93
09.01.2021 03:00:56;106,75;15,32;1.281,15;55,29;86,92;4,54
09.01.2021 04:00:56;107,35;9,17;899,46;41,88;68,49;4,45
09.01.2021 05:00:56;102,91;5,47;775,09;35,75;59,45;4,22
09.01.2021 06:00:56;95,74;4,00;670,29;31,17;54,28;4,17
09.01.2021 07:00:56;86,37;3,72;683,18;32,95;65,51;3,52
09.01.2021 08:00:56;81,53;4,20;788,25;37,19;88,04;3,21
09.01.2021 09:00:56;84,27;6,70;1.052,45;41,22;121,15;3,53
09.01.2021 10:00:56;88,54;10,09;1.059,83;43,79;118,69;35,93
09.01.2021 11:00:56;86,74;17,63;997,44;48,23;104,02;39,28
09.01.2021 12:00:56;93,02;21,11;889,48;48,78;96,21;44,36
09.01.2021 13:00:56;98,43;11,37;574,78;30,30;57,84;52,80
09.01.2021 14:00:56;82,06;4,54;440,11;14,70;31,46;57,69
09.01.2021 15:00:56;62,67;4,77;435,80;15,83;29,29;56,77
09.01.2021 16:00:56;49,19;5,45;451,25;21,70;32,63;54,15
09.01.2021 17:00:56;39,99;5,24;453,06;23,40;33,48;53,12
09.01.2021 18:00:56;37,36;6,43;470,02;25,64;34,53;52,00
09.01.2021 19:00:56;37,61;11,32;545,00;37,87;46,16;47,86
09.01.2021 20:00:56;37,89;17,61;628,03;42,64;50,35;46,19
09.01.2021 21:00:56;37,11;18,53;592,42;34,72;41,13;48,43
09.01.2021 22:00:56;33,88;16,29;544,06;30,88;36,76;49,18
09.01.2021 23:00:56;32,00;16,89;629,33;30,08;35,39;49,21
10.01.2021 00:00:56;34,13;18,87;830,64;31,49;36,57;48,47
10.01.2021 01:00:56;38,37;20,87;999,31;34,18;43,96;44,69
10.01.2021 02:00:56;44,18;21,32;1.070,07;35,33;45,38;41,73
10.01.2021 03:00:56;49,73;18,48;1.030,96;40,83;48,82;37,80
10.01.2021 04:00:56;48,99;14,09;882,56;38,01;45,90;36,72
10.01.2021 05:00:56;42,72;11,23;866,07;28,90;34,50;38,48
10.01.2021 06:00:56;40,51;9,26;926,84;28,04;36,56;36,95
10.01.2021 07:00:56;40,07;9,54;837,32;32,97;47,50;33,71
10.01.2021 08:00:56;38,06;11,28;737,06;37,11;57,86;30,92
10.01.2021 09:00:56;40,88;11,74;751,20;39,39;72,09;0,55
10.01.2021 10:00:56;48,60;12,03;761,99;39,45;93,81;1,60
10.01.2021 11:00:56;54,07;16,13;672,36;36,37;95,22;3,64
10.01.2021 12:00:56;60,39;21,11;533,85;31,02;70,08;7,76
10.01.2021 13:00:56;68,12;18,98;461,75;23,71;44,04;45,11
10.01.2021 14:00:56;67,64;11,59;421,88;17,26;27,96;50,70
10.01.2021 15:00:56;65,45;7,33;397,77;14,84;22,96;49,96
10.01.2021 16:00:56;68,41;7,78;377,54;15,75;23,06;48,76
10.01.2021 17:00:56;72,96;8,13;356,73;16,28;22,22;49,06
10.01.2021 18:00:56;83,38;9,76;435,67;22,68;28,29;46,68
10.01.2021 19:00:56;97,17;12,59;504,60;29,76;35,55;44,19
10.01.2021 20:00:56;99,44;12,27;515,26;30,58;36,09;43,15
10.01.2021 21:00:56;95,08;12,42;641,48;38,36;46,46;39,68
10.01.2021 22:00:56;98,07;22,43;1.317,88;52,23;89,16;34,65
10.01.2021 23:00:56;106,05;30,81;2.054,12;55,96;112,22;31,91
11.01.2021 00:00:56;123,12;34,36;1.937,49;51,77;101,88;31,38
11.01.2021 01:00:56;140,15;33,04;1.445,90;47,44;87,38;3,03
11.01.2021 02:00:56;142,71;21,29;1.082,40;40,63;80,38;4,09
11.01.2021 03:00:56;135,58;11,82;731,00;30,03;65,52;3,59
11.01.2021 04:00:56;125,07;6,92;591,71;22,49;40,73;4,00
11.01.2021 05:00:56;116,60;6,28;679,23;23,15;38,68;3,88
11.01.2021 06:00:56;109,93;6,32;728,69;25,50;51,25;3,59
11.01.2021 07:00:56;106,14;6,74;815,59;27,92;66,28;3,78
11.01.2021 08:00:56;105,94;7,48;889,01;30,63;82,35;3,89
11.01.2021 09:00:56;106,82;8,38;984,85;35,36;106,34;4,46
11.01.2021 10:00:56;113,71;10,74;1.477,98;47,96;152,25;4,97
11.01.2021 11:00:56;146,97;20,86;2.430,43;72,49;289,29;21,02
11.01.2021 12:00:56;262,96;32,23;3.097,22;95,77;390,63;21,40
11.01.2021 13:00:56;353,33;38,30;3.176,97;102,08;368,50;20,84
11.01.2021 14:00:56;349,79;36,54;2.742,04;97,04;335,33;20,24
11.01.2021 15:00:56;185,62;30,65;2.146,92;91,75;287,32;19,08
11.01.2021 16:00:56;100,24;25,91;1.807,64;80,75;233,34;19,62
11.01.2021 17:00:56;216,40;22,19;1.799,85;71,71;218,08;20,84
11.01.2021 18:00:56;286,51;27,92;3.071,02;102,95;370,20;21,67
11.01.2021 19:00:56;331,64;32,37;4.650,67;133,06;600,54;22,07
11.01.2021 20:00:56;459,04;28,20;4.888,31;129,56;701,80;21,01
11.01.2021 21:00:56;634,76;25,24;5.440,76;130,84;788,30;5,17
11.01.2021 22:00:56;716,57;25,50;6.589,51;138,66;911,43;5,27
11.01.2021 23:00:56;686,86;26,27;7.406,13;145,81;992,38;5,75
12.01.2021 00:00:56;653,62;28,37;8.028,30;154,85;1.068,56;6,50
12.01.2021 01:00:56;642,62;34,20;7.801,93;151,04;998,86;7,66
12.01.2021 02:00:56;611,15;34,59;7.652,25;141,50;924,20;8,01
12.01.2021 03:00:56;598,56;30,42;7.608,76;134,94;924,84;7,72
12.01.2021 04:00:56;608,12;25,42;7.469,93;123,02;858,97;7,40
12.01.2021 05:00:56;584,12;21,51;7.574,15;108,60;781,04;7,03
12.01.2021 06:00:56;536,27;19,32;6.633,08;94,18;676,51;6,81
12.01.2021 07:00:56;489,12;15,84;4.955,68;78,32;545,15;6,12
12.01.2021 08:00:56;404,20;13,79;4.173,72;67,61;466,06;5,99
12.01.2021 09:00:56;302,15;17,97;4.352,98;72,42;460,85;6,58
12.01.2021 10:00:56;239,14;25,55;3.519,31;73,73;374,76;6,77
12.01.2021 11:00:56;177,59;35,47;1.903,78;64,78;246,23;7,96
12.01.2021 12:00:56;126,10;27,97;1.210,53;51,20;176,07;41,39
12.01.2021 13:00:56;109,92;12,95;1.047,73;39,01;137,33;46,59
12.01.2021 14:00:56;108,49;8,41;1.110,43;30,16;132,75;53,15
12.01.2021 15:00:56;108,60;3,90;1.075,30;22,62;125,77;56,60
12.01.2021 16:00:56;97,79;3,44;818,90;19,51;99,08;56,10
12.01.2021 17:00:56;77,95;2,79;653,30;18,91;82,38;55,68
12.01.2021 18:00:56;62,81;2,49;550,86;21,95;72,85;55,58
12.01.2021 19:00:56;69,26;2,89;514,26;25,22;68,61;54,66
12.01.2021 20:00:56;77,73;3,55;488,48;27,01;65,58;53,79
12.01.2021 21:00:56;72,77;4,04;456,93;25,89;58,79;52,69
12.01.2021 22:00:56;63,73;3,56;397,01;21,97;50,93;53,80
12.01.2021 23:00:56;49,86;2,89;318,70;17,66;43,64;56,50
13.01.2021 00:00:56;41,00;2,64;297,58;17,64;43,59;56,83
13.01.2021 01:00:56;46,62;3,09;386,35;17,24;41,56;53,76
13.01.2021 02:00:56;49,59;4,27;446,52;13,92;32,84;51,70
13.01.2021 03:00:56;48,39;4,40;420,44;12,98;29,52;51,86
13.01.2021 04:00:56;50,15;3,18;376,22;12,10;27,03;51,71
13.01.2021 05:00:56;52,59;2,36;352,02;11,66;24,30;51,25
13.01.2021 06:00:56;76,67;2,19;365,72;13,44;25,26;49,84
13.01.2021 07:00:56;101,90;2,05;341,93;14,47;24,38;50,05
13.01.2021 08:00:56;89,27;2,89;328,02;15,74;23,25;50,65
13.01.2021 09:00:56;71,85;4,47;333,31;18,18;24,64;49,50
13.01.2021 10:00:56;66,43;4,89;331,06;18,99;24,90;48,50
13.01.2021 11:00:56;65,43;3,51;318,78;17,27;22,90;48,30
13.01.2021 12:00:56;166,11;2,42;290,48;14,78;19,85;47,51
13.01.2021 13:00:56;244,85;2,70;271,85;14,34;18,75;46,58
13.01.2021 14:00:56;137,75;3,80;289,68;17,11;21,33;44,79
13.01.2021 15:00:56;61,44;3,94;345,18;21,19;26,97;43,35
13.01.2021 16:00:56;55,47;3,26;413,94;32,51;41,69;41,13
13.01.2021 17:00:56;33,11;2,85;410,35;39,37;50,24;39,39
13.01.2021 18:00:56;27,46;2,73;376,36;41,30;56,86;39,94
13.01.2021 19:00:56;33,76;2,61;407,80;47,26;70,35;37,76
13.01.2021 20:00:56;35,09;5,12;551,10;58,56;90,76;32,82
13.01.2021 21:00:56;35,51;6,24;576,45;61,24;93,97;1,99
13.01.2021 22:00:56;33,67;3,65;411,35;51,59;71,02;5,11
13.01.2021 23:00:56;27,47;3,37;329,76;40,12;51,06;7,65
14.01.2021 00:00:56;23,22;3,36;300,66;29,05;37,50;34,76
14.01.2021 01:00:56;20,84;3,42;385,62;29,40;37,94;33,87
14.01.2021 02:00:56;22,77;4,67;550,26;25,36;33,16;34,73
14.01.2021 03:00:56;26,83;6,21;618,06;17,85;23,34;37,30
14.01.2021 04:00:56;28,17;7,56;707,67;21,48;27,14;35,28
14.01.2021 05:00:56;27,10;6,19;726,90;31,55;39,96;30,20
14.01.2021 06:00:56;34,05;3,99;651,45;33,32;43,28;27,31
14.01.2021 07:00:56;43,25;2,45;554,68;29,48;43,45;2,92
14.01.2021 08:00:56;35,25;1,35;511,41;31,93;57,16;2,95
14.01.2021 09:00:56;23,56;1,38;626,73;40,56;72,96;1,69
14.01.2021 10:00:56;34,14;1,71;751,38;43,56;84,65;1,61
14.01.2021 11:00:56;66,89;9,67;848,52;50,04;101,92;2,51
14.01.2021 12:00:56;100,86;11,20;889,93;56,10;110,17;3,04
14.01.2021 13:00:56;110,24;12,35;737,97;50,71;99,53;29,42
14.01.2021 14:00:56;98,79;12,79;601,59;41,60;77,57;31,74
14.01.2021 15:00:56;83,50;4,98;564,21;29,99;53,27;35,65
14.01.2021 16:00:56;64,77;4,39;536,64;28,94;46,90;37,79
14.01.2021 17:00:56;51,98;4,43;548,61;35,72;52,82;36,80
14.01.2021 18:00:56;42,64;4,79;594,22;41,64;63,12;35,85
14.01.2021 19:00:56;35,42;4,35;651,84;47,25;76,26;33,22
14.01.2021 20:00:56;34,41;3,06;656,09;49,44;87,91;29,12
14.01.2021 21:00:56;30,62;3,84;742,40;55,34;107,99;27,03
14.01.2021 22:00:56;26,38;17,55;807,11;57,16;109,54;1,75
14.01.2021 23:00:56;29,10;19,09;813,00;48,25;78,35;2,84
15.01.2021 00:00:56;32,63;7,78;934,38;43,29;59,42;4,55
15.01.2021 01:00:56;36,43;7,98;1.131,85;43,81;61,11;4,73
15.01.2021 02:00:56;44,02;8,21;1.301,23;46,90;91,28;3,43
15.01.2021 03:00:56;52,48;7,76;1.293,08;50,06;110,14;2,50
15.01.2021 04:00:56;60,35;8,77;1.250,59;48,16;110,63;2,37
15.01.2021 05:00:56;67,52;8,92;1.335,47;42,27;95,79;2,82
15.01.2021 06:00:56;71,54;6,04;1.400,47;37,11;62,03;4,55
15.01.2021 07:00:56;72,87;3,78;1.349,23;37,28;62,09;4,08
15.01.2021 08:00:56;73,63;2,65;1.178,34;36,92;69,98;2,38
15.01.2021 09:00:56;75,85;3,72;1.193,86;37,94;99,71;2,55
15.01.2021 10:00:56;83,87;6,24;1.214,24;41,91;129,45;28,71
15.01.2021 11:00:56;90,05;5,23;902,26;36,35;94,38;31,85
15.01.2021 12:00:56;82,98;5,83;644,06;27,70;58,60;35,11
15.01.2021 13:00:56;70,36;10,20;668,19;28,21;63,06;36,13
15.01.2021 14:00:56;67,97;10,77;797,10;38,75;76,37;33,86
15.01.2021 15:00:56;73,66;9,14;786,59;47,11;80,71;32,42
15.01.2021 16:00:56;77,67;10,15;716,90;47,30;80,23;34,75
15.01.2021 17:00:56;76,40;9,35;592,30;36,87;62,28;39,66
15.01.2021 18:00:56;66,11;6,83;523,92;35,34;52,86;40,36
15.01.2021 19:00:56;49,67;5,27;650,58;46,27;77,76;34,52
15.01.2021 20:00:56;38,46;4,59;637,60;40,64;70,58;34,38
15.01.2021 21:00:56;34,96;4,31;507,28;27,47;41,73;39,57
15.01.2021 22:00:56;31,76;3,08;416,28;19,14;29,44;42,38
15.01.2021 23:00:56;26,75;2,40;395,61;24,39;35,52;40,69
16.01.2021 00:00:56;22,79;2,36;451,36;35,82;48,56;36,99
16.01.2021 01:00:56;21,97;2,20;478,95;38,79;49,16;35,65
16.01.2021 02:00:56;23,45;2,05;470,90;36,91;45,33;35,81
16.01.2021 03:00:56;22,76;2,14;411,37;28,19;35,08;37,63
16.01.2021 04:00:56;19,92;1,87;373,78;21,01;25,88;38,43
