Tarih;Konya - Meram;;;;
;PM10 ( µg/m3 );SO2 ( µg/m3 );CO ( µg/m3 );NO2 ( µg/m3 );NOX ( µg/m3 )
01.01.2021 00:00:56;78,80;29,73;1.540,06;49,66;90,98
01.01.2021 01:00:56;38,25;32,73;2.318,93;47,34;104,33
01.01.2021 02:00:56;63,98;51,21;3.742,13;49,85;154,33
01.01.2021 03:00:56;116,64;50,67;4.096,74;51,92;190,85
01.01.2021 04:00:56;128,95;36,40;4.252,81;48,37;185,70
01.01.2021 05:00:56;115,72;37,54;5.403,27;44,02;177,71
01.01.2021 06:00:56;138,02;33,88;5.010,36;39,99;143,45
01.01.2021 07:00:56;114,60;30,24;4.791,24;37,00;118,64
01.01.2021 08:00:56;101,44;32,35;5.458,39;37,22;142,36
01.01.2021 09:00:56;121,16;37,75;5.881,70;39,81;175,36
01.01.2021 10:00:56;131,44;54,47;7.059,87;48,71;198,60
01.01.2021 11:00:56;169,18;68,66;5.908,62;60,00;175,33
01.01.2021 12:00:56;154,28;70,53;4.024,57;67,19;134,22
01.01.2021 13:00:56;125,35;53,80;2.714,76;53,77;91,96
01.01.2021 14:00:56;103,64;31,91;1.528,97;27,43;49,83
01.01.2021 15:00:56;66,98;21,67;1.152,50;16,95;34,69
01.01.2021 16:00:56;39,00;17,67;990,37;15,97;31,96
01.01.2021 17:00:56;27,40;18,07;923,75;15,62;28,64
01.01.2021 18:00:56;24,46;28,59;1.243,56;25,54;38,03
01.01.2021 19:00:56;40,25;44,85;1.680,07;48,02;65,69
01.01.2021 20:00:56;69,93;46,82;1.997,26;60,71;88,28
01.01.2021 21:00:56;80,07;45,45;2.161,48;65,60;123,56
01.01.2021 22:00:56;81,85;44,17;2.050,16;68,92;146,70
01.01.2021 23:00:56;76,66;42,85;2.183,57;63,65;134,44
02.01.2021 00:00:56;67,92;37,12;1.993,00;56,13;108,08
02.01.2021 01:00:56;49,62;28,19;1.468,07;44,31;69,30
02.01.2021 02:00:56;27,19;23,90;1.250,27;36,33;53,09
02.01.2021 03:00:56;19,60;23,31;1.312,07;40,13;58,84
02.01.2021 04:00:56;23,40;23,35;1.608,71;47,12;78,58
02.01.2021 05:00:56;33,38;20,58;1.678,27;61,10;128,26
02.01.2021 06:00:56;28,54;17,08;1.468,79;63,57;135,60
02.01.2021 07:00:56;17,99;15,15;1.337,26;53,33;103,31
02.01.2021 08:00:56;18,21;15,12;1.494,36;46,96;82,69
02.01.2021 09:00:56;24,45;17,05;1.738,52;44,83;74,57
02.01.2021 10:00:56;38,39;41,53;4.141,41;49,40;111,57
02.01.2021 11:00:56;108,12;54,41;4.495,48;50,18;117,39
02.01.2021 12:00:56;121,72;34,27;1.838,75;34,66;63,62
02.01.2021 13:00:56;54,82;34,09;1.349,85;30,08;48,88
02.01.2021 14:00:56;55,81;37,96;1.301,47;35,17;53,88
02.01.2021 15:00:56;72,59;26,59;988,14;23,72;37,31
02.01.2021 16:00:56;46,97;18,13;854,88;15,03;24,23
02.01.2021 17:00:56;22,87;17,13;784,34;17,70;25,76
02.01.2021 18:00:56;20,13;22,03;883,56;28,72;36,31
02.01.2021 19:00:56;24,31;34,23;1.331,71;48,84;64,61
02.01.2021 20:00:56;47,26;36,45;1.723,65;63,08;106,03
02.01.2021 21:00:56;63,55;29,86;1.802,79;61,00;107,47
02.01.2021 22:00:56;51,00;25,36;1.510,41;54,83;79,66
02.01.2021 23:00:56;38,82;21,69;1.222,25;50,58;67,78
03.01.2021 00:00:56;34,63;19,14;1.319,24;47,67;64,23
03.01.2021 01:00:56;38,92;17,42;1.176,07;42,30;55,62
03.01.2021 02:00:56;35,23;15,82;964,66;33,35;42,15
03.01.2021 03:00:56;29,63;13,85;1.034,22;27,63;35,65
03.01.2021 04:00:56;32,56;12,06;1.223,52;26,88;35,58
03.01.2021 05:00:56;36,20;23,77;3.342,46;32,34;54,81
03.01.2021 06:00:56;85,27;33,99;5.195,17;35,88;77,86
03.01.2021 07:00:56;122,81;23,92;3.368,77;28,70;58,24
03.01.2021 08:00:56;75,07;16,52;1.967,85;25,82;42,58
03.01.2021 09:00:56;39,38;26,72;4.229,07;38,76;102,15
03.01.2021 10:00:56;94,02;42,46;5.041,33;44,66;123,23
03.01.2021 11:00:56;108,29;46,88;3.217,33;50,10;103,02
03.01.2021 12:00:56;84,27;49,07;2.354,73;56,45;101,47
03.01.2021 13:00:56;88,53;51,99;1.765,05;47,63;76,75
03.01.2021 14:00:56;76,52;50,83;1.473,70;42,27;62,70
03.01.2021 15:00:56;78,99;62,46;1.439,43;45,99;65,71
03.01.2021 16:00:56;90,06;62,21;1.253,04;46,35;64,59
03.01.2021 17:00:56;76,70;49,97;1.102,11;41,10;55,21
03.01.2021 18:00:56;59,66;48,30;1.203,78;39,80;53,55
03.01.2021 19:00:56;64,93;52,67;1.648,99;51,69;75,94
03.01.2021 20:00:56;89,96;54,89;2.033,13;59,10;91,16
03.01.2021 21:00:56;99,92;50,94;2.399,22;55,55;98,64
03.01.2021 22:00:56;115,78;46,91;2.780,42;52,58;103,60
03.01.2021 23:00:56;145,43;36,95;2.804,33;48,06;98,69
04.01.2021 00:00:56;141,25;30,16;2.612,40;44,11;87,24
04.01.2021 01:00:56;120,23;26,16;2.078,34;38,67;62,47
04.01.2021 02:00:56;87,98;21,45;1.718,57;33,88;52,06
04.01.2021 03:00:56;65,88;18,92;1.701,49;38,89;72,82
04.01.2021 04:00:56;63,03;17,49;2.053,98;42,10;84,24
04.01.2021 05:00:56;64,03;17,23;2.503,28;36,47;78,04
04.01.2021 06:00:56;64,05;14,91;2.120,35;29,38;59,52
04.01.2021 07:00:56;51,46;12,15;1.551,07;26,52;43,14
04.01.2021 08:00:56;40,12;12,24;1.988,05;37,67;112,14
04.01.2021 09:00:56;59,80;17,37;4.056,92;55,43;270,81
04.01.2021 10:00:56;107,26;50,41;7.261,13;69,41;350,54
04.01.2021 11:00:56;205,12;73,34;7.838,58;85,44;327,26
04.01.2021 12:00:56;272,28;53,75;4.714,62;80,75;223,07
04.01.2021 13:00:56;195,34;44,85;2.576,32;65,63;121,90
04.01.2021 14:00:56;117,50;45,16;2.062,48;55,57;95,55
04.01.2021 15:00:56;104,35;39,49;1.657,32;42,85;72,29
04.01.2021 16:00:56;89,08;33,55;1.354,60;32,22;54,90
04.01.2021 17:00:56;65,01;28,38;1.156,38;26,03;42,87
04.01.2021 18:00:56;43,25;34,38;1.649,32;40,41;64,90
04.01.2021 19:00:56;51,64;42,31;2.286,68;66,29;165,35
04.01.2021 20:00:56;79,84;50,85;3.325,04;85,11;312,78
04.01.2021 21:00:56;127,73;51,49;3.662,91;79,37;303,46
04.01.2021 22:00:56;140,42;40,11;3.047,76;64,22;222,29
04.01.2021 23:00:56;116,64;33,17;2.883,63;60,27;221,74
05.01.2021 00:00:56;107,85;29,40;2.836,35;54,59;196,30
05.01.2021 01:00:56;104,07;30,22;2.549,28;45,70;129,30
05.01.2021 02:00:56;95,03;47,22;4.337,23;39,36;104,60
05.01.2021 03:00:56;175,05;68,49;6.877,02;35,21;116,67
05.01.2021 04:00:56;262,73;63,70;6.065,64;32,74;100,73
05.01.2021 05:00:56;208,11;43,95;3.753,79;32,00;74,70
05.01.2021 06:00:56;108,40;32,14;2.477,64;30,70;58,35
05.01.2021 07:00:56;56,40;28,54;2.047,00;28,15;50,98
05.01.2021 08:00:56;44,45;30,23;2.156,17;34,58;75,88
05.01.2021 09:00:56;47,53;31,78;2.666,20;49,60;160,98
05.01.2021 10:00:56;60,75;36,43;3.071,22;61,94;228,91
05.01.2021 11:00:56;82,06;49,50;2.845,78;62,86;176,40
05.01.2021 12:00:56;93,42;45,02;1.929,33;56,13;97,41
05.01.2021 13:00:56;76,45;26,07;1.027,19;38,64;59,77
05.01.2021 14:00:56;48,22;19,01;585,14;25,61;37,81
05.01.2021 15:00:56;28,87;19,46;588,37;26,27;37,62
05.01.2021 16:00:56;26,12;22,69;696,52;26,51;39,38
05.01.2021 17:00:56;29,62;28,05;830,35;35,09;49,78
05.01.2021 18:00:56;33,06;33,84;1.232,79;57,01;121,15
05.01.2021 19:00:56;50,58;49,54;1.924,03;70,66;172,54
05.01.2021 20:00:56;77,96;47,35;1.860,77;65,58;136,64
05.01.2021 21:00:56;72,83;39,80;1.693,05;60,61;104,83
05.01.2021 22:00:56;57,50;44,10;1.739,30;51,09;81,33
05.01.2021 23:00:56;57,30;42,08;1.576,40;37,59;56,36
06.01.2021 00:00:56;51,65;41,00;1.781,36;38,22;53,86
06.01.2021 01:00:56;58,18;35,43;1.874,54;41,85;60,33
06.01.2021 02:00:56;60,02;25,65;1.789,96;38,30;55,63
06.01.2021 03:00:56;48,50;26,57;2.537,14;39,10;58,31
06.01.2021 04:00:56;64,41;26,61;2.999,09;35,62;54,66
06.01.2021 05:00:56;71,29;23,24;3.167,04;31,48;50,33
06.01.2021 06:00:56;68,52;21,99;3.617,83;40,93;83,96
06.01.2021 07:00:56;81,20;17,02;2.924,60;47,59;118,41
06.01.2021 08:00:56;70,80;12,80;2.649,11;46,96;168,38
06.01.2021 09:00:56;69,21;12,50;3.018,98;50,37;233,64
06.01.2021 10:00:56;72,19;20,12;3.363,33;60,27;253,00
06.01.2021 11:00:56;82,53;41,38;4.200,10;77,59;255,91
06.01.2021 12:00:56;122,90;58,22;3.839,89;80,75;214,19
06.01.2021 13:00:56;127,92;52,37;2.432,74;61,46;129,65
06.01.2021 14:00:56;99,09;41,71;1.651,66;43,51;77,17
06.01.2021 15:00:56;74,75;35,90;1.390,70;36,57;61,35
06.01.2021 16:00:56;54,83;26,91;1.223,79;29,49;49,41
06.01.2021 17:00:56;37,13;23,11;1.134,57;27,69;43,89
06.01.2021 18:00:56;28,79;29,53;1.450,73;43,57;66,21
06.01.2021 19:00:56;38,62;36,14;2.427,59;74,75;221,41
06.01.2021 20:00:56;70,13;32,28;3.302,52;97,84;399,52
06.01.2021 21:00:56;97,28;25,98;3.083,48;90,14;380,94
06.01.2021 22:00:56;88,27;23,77;2.421,28;69,15;248,10
06.01.2021 23:00:56;70,94;23,54;2.198,99;57,19;165,22
07.01.2021 00:00:56;70,30;23,09;2.298,33;49,78;135,39
07.01.2021 01:00:56;78,82;21,14;2.252,25;43,94;113,18
07.01.2021 02:00:56;72,29;23,97;2.765,38;43,63;115,31
07.01.2021 03:00:56;85,25;27,61;3.341,73;47,59;144,06
07.01.2021 04:00:56;100,04;22,16;2.687,62;46,49;143,22
07.01.2021 05:00:56;73,43;16,05;1.768,35;36,41;94,32
07.01.2021 06:00:56;45,34;13,10;1.294,15;29,48;64,45
07.01.2021 07:00:56;29,15;13,79;1.804,86;34,56;72,41
07.01.2021 08:00:56;36,11;16,14;3.214,15;43,54;146,27
07.01.2021 09:00:56;68,42;28,15;5.954,47;49,58;258,06
07.01.2021 10:00:56;137,54;49,22;7.654,39;63,92;339,66
07.01.2021 11:00:56;215,85;61,99;6.931,62;91,59;361,53
07.01.2021 12:00:56;246,26;58,58;5.339,74;101,82;273,10
07.01.2021 13:00:56;207,60;46,29;3.321,93;95,15;192,52
07.01.2021 14:00:56;160,56;35,11;2.105,86;76,78;147,15
07.01.2021 15:00:56;118,56;26,49;1.541,97;49,60;90,17
07.01.2021 16:00:56;68,66;22,40;1.268,86;38,66;69,84
07.01.2021 17:00:56;48,39;24,19;1.251,17;47,71;83,00
07.01.2021 18:00:56;46,26;32,46;1.545,47;68,77;139,38
07.01.2021 19:00:56;53,56;35,58;1.610,56;76,59;176,23
07.01.2021 20:00:56;53,35;33,14;1.534,44;70,16;151,85
07.01.2021 21:00:56;51,69;50,01;2.686,85;68,68;174,27
07.01.2021 22:00:56;91,74;118,40;6.349,82;72,34;286,23
07.01.2021 23:00:56;252,57;114,84;5.426,48;59,75;233,96
08.01.2021 00:00:56;212,39;48,89;1.591,20;46,21;95,51
08.01.2021 01:00:56;43,36;49,23;2.432,54;48,10;87,22
08.01.2021 02:00:56;73,89;73,68;4.531,79;47,40;93,34
08.01.2021 03:00:56;150,25;74,15;4.365,73;39,47;79,09
08.01.2021 04:00:56;144,14;48,26;2.483,81;36,09;74,54
08.01.2021 05:00:56;70,49;33,86;2.201,19;39,63;83,17
08.01.2021 06:00:56;49,52;31,95;3.117,13;42,58;99,76
08.01.2021 07:00:56;63,28;31,32;3.984,08;42,86;133,35
08.01.2021 08:00:56;86,00;30,58;4.478,54;42,48;189,52
08.01.2021 09:00:56;111,41;29,43;4.679,08;48,13;273,64
08.01.2021 10:00:56;122,33;45,03;5.230,14;60,81;309,53
08.01.2021 11:00:56;145,83;57,23;4.517,24;71,38;241,40
08.01.2021 12:00:56;134,68;51,86;2.925,32;68,38;153,82
08.01.2021 13:00:56;104,20;37,64;1.949,80;47,52;94,42
08.01.2021 14:00:56;78,90;19,87;1.236,38;22,67;48,48
08.01.2021 15:00:56;38,32;13,86;984,27;13,64;32,01
08.01.2021 16:00:56;22,55;13,40;897,45;13,88;29,28
08.01.2021 17:00:56;24,05;13,34;836,18;16,90;30,24
08.01.2021 18:00:56;25,08;15,68;899,10;28,91;42,49
08.01.2021 19:00:56;27,66;22,78;1.022,04;41,99;57,59
08.01.2021 20:00:56;31,62;25,76;994,92;45,11;59,88
08.01.2021 21:00:56;35,35;32,08;1.163,94;51,11;68,34
08.01.2021 22:00:56;44,77;38,59;1.401,10;57,74;79,71
08.01.2021 23:00:56;51,75;44,94;1.824,65;56,83;80,50
09.01.2021 00:00:56;73,83;49,25;2.398,26;54,93;88,26
09.01.2021 01:00:56;92,12;42,16;2.400,12;55,99;98,08
09.01.2021 02:00:56;82,38;46,27;2.872,76;56,17;97,42
09.01.2021 03:00:56;95,51;50,71;3.820,31;53,96;98,25
09.01.2021 04:00:56;119,52;43,43;4.136,83;51,20;95,92
09.01.2021 05:00:56;118,39;36,66;3.241,30;49,90;97,68
09.01.2021 06:00:56;101,22;32,78;2.512,55;46,90;100,52
09.01.2021 07:00:56;80,95;28,44;2.369,45;41,23;91,67
09.01.2021 08:00:56;67,30;24,35;2.279,12;39,57;108,34
09.01.2021 09:00:56;63,21;25,69;2.670,58;41,59;134,13
09.01.2021 10:00:56;68,73;29,02;2.364,76;40,66;106,69
09.01.2021 11:00:56;59,82;30,67;1.691,73;38,19;71,76
09.01.2021 12:00:56;58,23;27,55;1.317,81;31,76;57,52
09.01.2021 13:00:56;61,11;19,42;947,81;17,07;32,80
09.01.2021 14:00:56;37,34;13,41;778,32;9,10;19,22
09.01.2021 15:00:56;22,45;12,36;744,47;9,64;18,11
09.01.2021 16:00:56;20,92;12,97;700,33;10,36;17,62
09.01.2021 17:00:56;19,05;14,16;665,20;10,46;16,64
09.01.2021 18:00:56;20,60;16,97;664,23;13,15;18,60
09.01.2021 19:00:56;23,08;22,27;662,78;15,54;20,59
09.01.2021 20:00:56;25,09;26,41;668,57;16,35;21,28
09.01.2021 21:00:56;27,51;27,48;690,18;15,05;19,76
09.01.2021 22:00:56;27,40;26,00;697,54;14,27;18,71
09.01.2021 23:00:56;25,15;28,46;850,06;19,04;23,71
10.01.2021 00:00:56;29,66;31,94;1.039,08;22,75;27,70
10.01.2021 01:00:56;32,88;30,24;985,55;19,84;24,59
10.01.2021 02:00:56;29,94;27,74;926,63;17,33;21,94
10.01.2021 03:00:56;28,80;33,18;1.373,91;18,23;23,03
10.01.2021 04:00:56;38,59;47,41;2.526,31;28,61;41,04
10.01.2021 05:00:56;67,50;45,78;2.891,31;38,14;60,13
10.01.2021 06:00:56;77,01;37,89;3.272,09;36,99;62,78
10.01.2021 07:00:56;79,55;40,16;3.668,10;34,25;55,37
10.01.2021 08:00:56;77,21;39,53;3.128,33;30,61;42,72
10.01.2021 09:00:56;57,85;38,90;2.900,77;33,37;47,32
10.01.2021 10:00:56;55,06;40,86;2.631,91;39,37;63,44
10.01.2021 11:00:56;56,38;45,86;2.341,95;37,90;61,78
10.01.2021 12:00:56;67,58;40,76;1.881,96;29,19;44,40
10.01.2021 13:00:56;65,72;25,30;1.241,48;17,19;26,46
10.01.2021 14:00:56;47,02;16,84;969,53;10,34;16,23
10.01.2021 15:00:56;48,89;16,39;898,34;9,96;15,18
10.01.2021 16:00:56;58,72;16,23;858,88;9,73;14,64
10.01.2021 17:00:56;63,95;16,11;869,74;10,26;14,83
10.01.2021 18:00:56;61,87;20,75;976,05;18,77;24,17
10.01.2021 19:00:56;58,79;24,53;997,09;25,80;31,99
10.01.2021 20:00:56;52,13;24,27;899,41;21,18;26,38
10.01.2021 21:00:56;43,45;24,76;953,91;16,98;21,42
10.01.2021 22:00:56;43,10;29,61;1.379,77;22,51;28,53
10.01.2021 23:00:56;60,99;38,32;2.063,61;32,52;42,44
11.01.2021 00:00:56;86,28;43,24;3.031,23;38,68;60,40
11.01.2021 01:00:56;124,40;48,94;4.561,98;39,48;89,71
11.01.2021 02:00:56;186,95;53,08;5.419,76;38,30;115,90
11.01.2021 03:00:56;203,69;48,45;5.031,06;38,05;128,00
11.01.2021 04:00:56;169,50;41,33;4.520,05;33,40;119,27
11.01.2021 05:00:56;144,37;35,46;3.418,36;27,37;95,55
11.01.2021 06:00:56;113,00;32,26;2.631,57;30,96;101,81
11.01.2021 07:00:56;90,75;33,18;3.176,19;33,87;120,07
11.01.2021 08:00:56;97,80;33,52;3.749,12;32,48;142,50
11.01.2021 09:00:56;105,43;37,43;3.970,92;35,80;192,36
11.01.2021 10:00:56;117,11;40,08;3.222,23;44,17;225,61
11.01.2021 11:00:56;117,88;43,22;2.875,18;50,15;236,74
11.01.2021 12:00:56;117,63;52,48;3.502,60;59,36;270,09
11.01.2021 13:00:56;148,67;60,19;3.535,66;67,79;265,38
11.01.2021 14:00:56;161,94;65,36;3.713,45;69,43;234,08
11.01.2021 15:00:56;163,73;72,66;4.192,19;78,67;267,58
11.01.2021 16:00:56;196,37;73,89;3.708,58;83,93;285,83
11.01.2021 17:00:56;199,36;63,96;2.991,01;74,29;246,35
11.01.2021 18:00:56;156,55;51,80;3.436,22;79,89;307,77
11.01.2021 19:00:56;166,19;45,96;4.780,60;104,86;508,64
11.01.2021 20:00:56;221,70;54,36;6.436,95;123,41;686,54
11.01.2021 21:00:56;264,57;54,80;7.160,48;120,73;710,76
11.01.2021 22:00:56;274,14;44,74;6.537,94;98,52;612,03
11.01.2021 23:00:56;236,29;41,64;5.236,71;72,08;439,99
12.01.2021 00:00:56;178,20;42,16;4.422,28;52,34;298,04
12.01.2021 01:00:56;150,38;51,30;5.569,09;43,69;275,49
12.01.2021 02:00:56;204,94;61,40;6.691,54;38,23;266,03
12.01.2021 03:00:56;247,60;64,22;7.334,47;34,16;240,75
12.01.2021 04:00:56;251,16;61,58;7.121,59;30,85;209,26
12.01.2021 05:00:56;222,22;52,26;6.047,20;27,28;164,40
12.01.2021 06:00:56;166,62;43,43;5.120,52;25,41;132,53
12.01.2021 07:00:56;130,23;35,81;4.110,89;24,51;117,32
12.01.2021 08:00:56;98,03;31,81;3.267,05;26,80;113,48
12.01.2021 09:00:56;73,24;31,07;2.848,97;35,63;176,09
12.01.2021 10:00:56;69,93;42,91;3.849,01;49,76;246,02
12.01.2021 11:00:56;94,33;54,65;4.018,47;59,22;219,84
12.01.2021 12:00:56;98,84;47,33;2.595,06;52,93;159,65
12.01.2021 13:00:56;67,42;29,97;1.604,12;32,32;98,81
12.01.2021 14:00:56;41,55;16,48;1.203,70;15,00;53,10
12.01.2021 15:00:56;29,68;12,77;1.009,06;11,06;39,49
12.01.2021 16:00:56;22,00;11,97;881,08;11,36;34,91
12.01.2021 17:00:56;22,37;11,18;747,68;12,47;32,18
12.01.2021 18:00:56;32,82;11,66;633,52;14,14;31,23
12.01.2021 19:00:56;40,40;12,75;533,22;14,32;29,14
12.01.2021 20:00:56;37,83;13,53;448,55;14,64;27,08
12.01.2021 21:00:56;33,46;16,54;447,19;16,55;27,33
12.01.2021 22:00:56;33,00;18,99;464,92;16,51;26,32
12.01.2021 23:00:56;32,44;17,35;395,20;13,21;22,02
13.01.2021 00:00:56;30,84;15,70;327,85;10,16;17,70
13.01.2021 01:00:56;25,36;16,15;500,27;8,37;14,79
13.01.2021 02:00:56;24,25;18,00;677,89;7,91;13,72
13.01.2021 03:00:56;29,98;18,71;687,24;8,33;14,13
13.01.2021 04:00:56;29,52;16,66;655,51;9,24;15,41
13.01.2021 05:00:56;30,23;13,54;563,53;9,04;15,03
13.01.2021 06:00:56;35,82;11,76;508,84;8,71;14,29
13.01.2021 07:00:56;30,53;12,22;516,62;8,37;12,88
13.01.2021 08:00:56;21,61;14,76;561,08;8,43;11,78
13.01.2021 09:00:56;24,59;17,52;606,66;10,20;13,33
13.01.2021 10:00:56;26,69;17,49;626,58;11,35;14,70
13.01.2021 11:00:56;34,42;14,75;615,44;9,83;13,36
13.01.2021 12:00:56;101,14;12,36;594,31;7,90;12,32
13.01.2021 13:00:56;115,00;12,73;604,65;7,92;11,93
13.01.2021 14:00:56;44,13;14,55;647,68;11,79;14,96
13.01.2021 15:00:56;12,20;14,46;665,22;18,08;22,97
13.01.2021 16:00:56;6,37;14,23;647,82;22,69;29,61
13.01.2021 17:00:56;3,38;15,84;-;38,52;56,53
13.01.2021 18:00:56;15,02;16,30;-;56,83;98,80
13.01.2021 19:00:56;29,25;17,63;-;58,39;97,43
13.01.2021 20:00:56;36,37;19,86;-;54,35;78,36
13.01.2021 21:00:56;45,71;23,67;-;52,54;84,37
13.01.2021 22:00:56;50,68;24,00;-;44,11;68,75
13.01.2021 23:00:56;40,32;20,37;-;28,97;38,51
14.01.2021 00:00:56;24,91;17,61;-;19,29;32,94
14.01.2021 01:00:56;22,43;15,16;-;15,10;27,65
14.01.2021 02:00:56;20,35;14,12;-;11,80;16,83
14.01.2021 03:00:56;17,14;14,11;-;11,54;16,39
14.01.2021 04:00:56;22,12;16,89;-;14,41;19,60
14.01.2021 05:00:56;37,60;17,16;-;16,50;22,05
14.01.2021 06:00:56;37,06;14,40;-;18,11;24,20
14.01.2021 07:00:56;27,03;13,53;-;22,07;31,20
14.01.2021 08:00:56;28,25;11,60;-;28,08;40,68
14.01.2021 09:00:56;35,73;9,76;-;35,31;71,08
14.01.2021 10:00:56;55,95;10,86;-;37,96;100,74
14.01.2021 11:00:56;94,84;13,12;-;41,24;114,65
14.01.2021 12:00:56;113,24;16,55;-;47,14;120,49
14.01.2021 13:00:56;106,83;19,88;-;45,04;91,86
14.01.2021 14:00:56;86,65;21,00;1.240,11;35,86;58,65
14.01.2021 15:00:56;53,10;19,41;1.132,23;37,32;61,19
14.01.2021 16:00:56;31,25;17,41;1.012,88;45,43;74,45
14.01.2021 17:00:56;25,87;16,37;908,37;42,59;68,69
14.01.2021 18:00:56;21,15;16,13;818,99;40,47;59,68
14.01.2021 19:00:56;13,34;19,59;1.053,00;50,96;74,94
14.01.2021 20:00:56;23,83;23,64;1.389,07;57,35;91,98
14.01.2021 21:00:56;45,08;25,63;1.777,02;51,94;85,07
14.01.2021 22:00:56;59,08;24,52;1.981,11;47,35;75,10
14.01.2021 23:00:56;60,03;20,35;1.783,98;42,68;62,02
15.01.2021 00:00:56;47,10;13,76;1.584,85;35,06;46,72
15.01.2021 01:00:56;38,11;8,66;1.313,65;31,25;42,41
15.01.2021 02:00:56;40,89;6,86;1.215,63;30,59;48,01
15.01.2021 03:00:56;37,06;6,47;1.264,88;29,19;50,38
15.01.2021 04:00:56;25,67;7,09;1.318,33;26,70;43,24
15.01.2021 05:00:56;18,26;9,28;1.618,76;24,10;39,56
15.01.2021 06:00:56;26,11;8,21;1.384,09;20,14;33,35
15.01.2021 07:00:56;26,51;6,30;1.014,85;25,11;35,77
15.01.2021 08:00:56;15,62;11,24;1.610,57;36,64;58,42
15.01.2021 09:00:56;35,00;17,21;2.358,77;39,38;89,00
15.01.2021 10:00:56;72,39;15,01;2.059,56;35,35;86,54
15.01.2021 11:00:56;78,58;10,17;1.292,00;26,88;56,04
15.01.2021 12:00:56;76,04;14,74;1.281,52;22,90;46,38
15.01.2021 13:00:56;-;19,02;1.531,39;26,27;43,01
15.01.2021 14:00:56;-;21,50;1.719,04;44,07;76,67
15.01.2021 15:00:56;41,33;18,79;1.618,15;58,70;119,18
15.01.2021 16:00:56;70,34;18,19;1.234,61;48,26;96,99
15.01.2021 17:00:56;51,54;15,47;741,96;29,20;48,20
15.01.2021 18:00:56;27,45;14,26;559,94;29,12;39,20
15.01.2021 19:00:56;14,10;17,65;715,16;47,33;74,68
15.01.2021 20:00:56;18,33;20,26;939,53;57,44;106,65
15.01.2021 21:00:56;25,39;20,52;893,71;56,11;105,07
15.01.2021 22:00:56;22,16;16,72;659,11;44,30;73,09
15.01.2021 23:00:56;12,66;13,01;499,89;26,06;36,53
16.01.2021 00:00:56;5,05;11,78;517,87;20,12;26,32
16.01.2021 01:00:56;6,73;11,80;579,74;22,05;27,94
16.01.2021 02:00:56;12,97;12,47;630,84;20,69;25,89
16.01.2021 03:00:56;10,99;12,98;718,26;21,62;26,22
16.01.2021 04:00:56;10,44;12,80;783,62;21,05;25,44
16.01.2021 05:00:56;12,62;12,82;817,63;17,87;22,06
16.01.2021 06:00:56;17,20;12,68;861,05;18,22;22,37
16.01.2021 07:00:56;20,87;12,96;927,43;22,71;27,08
16.01.2021 08:00:56;18,66;15,38;1.047,20;27,96;32,73
16.01.2021 09:00:56;22,53;17,74;1.101,66;31,59;38,54
16.01.2021 10:00:56;23,10;16,91;1.015,21;28,76;36,88
16.01.2021 11:00:56;26,32;14,96;924,63;20,58;27,54
16.01.2021 12:00:56;34,15;14,47;861,95;15,25;21,22
16.01.2021 13:00:56;37,84;14,24;863,41;13,43;18,71
16.01.2021 14:00:56;47,93;14,41;921,33;15,40;21,56
16.01.2021 15:00:56;56,96;14,69;868,38;17,70;25,26
16.01.2021 16:00:56;55,67;14,04;739,50;17,05;24,01
16.01.2021 17:00:56;46,77;13,85;687,88;17,86;24,31
16.01.2021 18:00:56;43,10;14,06;691,41;21,63;28,98
16.01.2021 19:00:56;44,76;14,43;704,09;23,45;29,98
16.01.2021 20:00:56;38,95;14,32;699,79;23,06;28,25
16.01.2021 21:00:56;38,57;13,94;656,52;20,08;24,63
16.01.2021 22:00:56;39,97;13,87;655,20;17,30;21,50
16.01.2021 23:00:56;39,45;13,94;691,43;16,26;20,42
17.01.2021 00:00:56;37,95;15,53;845,43;18,76;23,38
17.01.2021 01:00:56;36,52;16,12;772,79;14,45;18,70
17.01.2021 02:00:56;21,81;14,78;542,12;7,17;10,09
17.01.2021 03:00:56;6,43;14,49;582,76;9,03;12,92
17.01.2021 04:00:56;4,97;13,73;643,60;11,89;16,24
17.01.2021 05:00:56;5,21;12,78;766,92;17,20;20,56
17.01.2021 06:00:56;11,19;13,65;919,29;29,35;33,50
17.01.2021 07:00:56;15,33;14,38;939,30;33,83;38,73
17.01.2021 08:00:56;10,35;13,27;902,91;27,48;32,86
17.01.2021 09:00:56;7,08;12,99;1.049,96;33,67;54,08
17.01.2021 10:00:56;9,34;15,25;1.094,21;35,52;60,49
17.01.2021 11:00:56;19,34;17,87;1.012,43;28,60;42,20
17.01.2021 12:00:56;27,06;19,48;995,95;26,48;38,01
17.01.2021 13:00:56;28,92;20,66;904,05;23,84;33,43
17.01.2021 14:00:56;25,20;21,45;811,69;22,64;30,73
17.01.2021 15:00:56;18,06;22,55;736,63;22,71;30,71
17.01.2021 16:00:56;20,03;22,22;709,89;23,72;31,33
17.01.2021 17:00:56;19,86;19,76;694,41;26,16;34,08
17.01.2021 18:00:56;16,50;17,65;717,31;28,23;37,90
17.01.2021 19:00:56;16,41;15,61;776,71;28,42;41,37
17.01.2021 20:00:56;13,34;13,52;755,05;24,22;34,27
17.01.2021 21:00:56;9,36;11,73;709,42;20,07;25,86
