Tarih;Konya-Selçuklu-Belediye;;;;
;PM10 ( µg/m3 );SO2 ( µg/m3 );CO ( µg/m3 );NO2 ( µg/m3 );NOX ( µg/m3 )
01.01.2021 00:00:56;199,45;26,38;1.728,15;99,36;210,09
01.01.2021 01:00:56;286,38;28,91;2.042,06;80,73;203,42
01.01.2021 02:00:56;232,53;24,06;1.597,76;73,08;115,81
01.01.2021 03:00:56;114,10;21,68;1.614,72;57,34;121,66
01.01.2021 04:00:56;111,00;22,69;2.124,89;85,54;155,35
01.01.2021 05:00:56;136,33;18,31;1.494,80;70,96;121,81
01.01.2021 06:00:56;131,16;14,66;477,09;51,54;77,75
01.01.2021 07:00:56;109,57;16,89;1.297,46;72,08;114,82
01.01.2021 08:00:56;90,49;20,18;2.036,76;81,65;228,13
01.01.2021 09:00:56;188,39;21,93;1.349,80;68,25;167,51
01.01.2021 10:00:56;206,59;22,88;1.243,34;80,84;161,39
01.01.2021 11:00:56;264,47;24,36;1.017,10;89,69;129,00
01.01.2021 12:00:56;315,68;26,86;404,12;56,58;71,77
01.01.2021 13:00:56;179,65;16,05;0,27;37,78;41,33
01.01.2021 14:00:56;114,63;11,35;0,00;27,07;28,71
01.01.2021 15:00:56;66,24;8,23;0,00;25,04;26,49
01.01.2021 16:00:56;60,13;8,68;0,00;26,53;27,80
01.01.2021 17:00:56;58,05;10,41;86,74;51,86;57,34
01.01.2021 18:00:56;130,09;15,89;752,94;84,12;136,64
01.01.2021 19:00:56;182,66;21,26;1.146,12;104,60;154,14
01.01.2021 20:00:56;213,22;28,22;1.994,31;108,16;202,90
01.01.2021 21:00:56;252,97;29,51;1.583,71;76,49;176,36
01.01.2021 22:00:56;216,01;25,30;1.538,48;62,65;118,02
01.01.2021 23:00:56;151,68;17,90;1.421,70;73,55;96,55
02.01.2021 00:00:56;122,74;19,56;2.072,67;61,35;105,39
02.01.2021 01:00:56;138,31;14,51;1.709,91;69,90;113,61
02.01.2021 02:00:56;154,59;17,50;1.837,48;72,49;110,38
02.01.2021 03:00:56;117,01;13,41;2.239,45;64,81;109,18
02.01.2021 04:00:56;120,87;13,25;1.128,28;52,55;64,71
02.01.2021 05:00:56;66,45;10,21;1.189,53;45,95;57,79
02.01.2021 06:00:56;45,52;6,51;846,70;43,55;56,17
02.01.2021 07:00:56;45,00;9,43;1.191,46;57,96;91,21
02.01.2021 08:00:56;69,35;9,51;1.861,58;89,56;189,25
02.01.2021 09:00:56;122,60;15,49;1.877,36;103,24;216,13
02.01.2021 10:00:56;161,99;17,41;1.597,41;81,49;118,41
02.01.2021 11:00:56;99,68;9,11;507,91;55,57;69,35
02.01.2021 12:00:56;92,16;5,01;400,34;60,46;72,08
02.01.2021 13:00:56;136,81;5,58;0,35;41,02;46,89
02.01.2021 14:00:56;79,55;2,27;0,00;23,56;24,88
02.01.2021 15:00:56;61,44;0,30;0,00;18,02;19,09
02.01.2021 16:00:56;41,52;0,73;0,00;17,71;18,56
02.01.2021 17:00:56;38,08;2,07;104,27;39,07;42,51
02.01.2021 18:00:56;95,47;5,25;683,86;83,84;130,60
02.01.2021 19:00:56;193,44;10,04;774,92;64,99;94,07
02.01.2021 20:00:56;132,68;18,24;1.200,09;61,55;87,55
02.01.2021 21:00:56;161,20;16,86;1.597,87;62,21;111,99
02.01.2021 22:00:56;158,10;19,79;1.859,25;71,83;122,63
02.01.2021 23:00:56;168,72;20,46;2.144,14;63,38;127,36
03.01.2021 00:00:56;154,39;22,29;1.642,74;59,84;95,73
03.01.2021 01:00:56;142,49;22,23;2.086,22;52,88;92,85
03.01.2021 02:00:56;118,62;18,04;1.599,05;50,51;92,84
03.01.2021 03:00:56;114,10;17,53;1.119,99;55,59;103,12
03.01.2021 04:00:56;103,28;15,69;1.591,83;55,72;106,12
03.01.2021 05:00:56;119,56;14,07;1.322,82;59,47;102,83
03.01.2021 06:00:56;112,21;15,83;1.398,61;61,01;101,19
03.01.2021 07:00:56;92,52;19,11;1.805,83;65,55;165,06
03.01.2021 08:00:56;114,41;16,90;1.188,25;71,10;139,68
03.01.2021 09:00:56;106,23;17,61;983,64;51,70;161,09
03.01.2021 10:00:56;131,33;16,19;372,40;46,87;89,96
03.01.2021 11:00:56;157,25;10,53;315,78;51,07;82,15
03.01.2021 12:00:56;144,40;7,66;195,57;43,03;61,52
03.01.2021 13:00:56;103,21;7,58;91,03;39,88;47,22
03.01.2021 14:00:56;106,86;7,90;66,85;40,95;47,79
03.01.2021 15:00:56;93,40;5,01;30,84;41,61;46,35
03.01.2021 16:00:56;88,14;6,51;10,13;37,31;39,84
03.01.2021 17:00:56;102,57;5,32;48,44;48,23;52,46
03.01.2021 18:00:56;145,74;8,78;612,26;68,36;87,67
03.01.2021 19:00:56;205,28;9,67;453,12;97,81;130,28
03.01.2021 20:00:56;262,36;15,99;1.295,91;80,25;162,85
03.01.2021 21:00:56;289,25;16,30;938,67;90,01;157,42
03.01.2021 22:00:56;200,64;17,21;1.989,50;84,82;166,52
03.01.2021 23:00:56;269,87;16,71;2.937,47;76,90;153,97
04.01.2021 00:00:56;291,43;21,80;3.020,28;58,43;132,31
04.01.2021 01:00:56;249,94;18,46;2.915,01;61,63;150,82
04.01.2021 02:00:56;232,46;18,37;1.943,59;51,74;81,29
04.01.2021 03:00:56;141,67;12,93;2.339,07;51,98;124,36
04.01.2021 04:00:56;180,76;14,70;2.256,41;55,94;104,71
04.01.2021 05:00:56;143,15;14,17;1.963,72;58,12;76,73
04.01.2021 06:00:56;102,18;10,76;2.166,23;79,46;113,74
04.01.2021 07:00:56;123,34;12,37;2.435,55;88,96;197,06
04.01.2021 08:00:56;250,26;19,97;2.568,41;68,88;220,77
04.01.2021 09:00:56;185,04;45,56;5.831,38;96,83;506,50
04.01.2021 10:00:56;830,83;45,92;3.287,18;132,58;358,64
04.01.2021 11:00:56;659,63;50,47;4.188,55;132,53;351,61
04.01.2021 12:00:56;619,03;42,60;2.747,22;107,61;228,11
04.01.2021 13:00:56;372,27;32,99;839,80;75,13;112,76
04.01.2021 14:00:56;199,89;19,69;457,59;61,87;79,82
04.01.2021 15:00:56;181,40;17,99;61,07;51,36;59,53
04.01.2021 16:00:56;122,72;10,66;6,37;51,40;61,00
04.01.2021 17:00:56;117,11;13,22;439,15;84,75;128,19
04.01.2021 18:00:56;216,07;19,14;1.681,20;116,08;265,16
04.01.2021 19:00:56;307,39;30,62;2.915,85;110,58;369,03
04.01.2021 20:00:56;347,88;40,72;3.101,10;128,90;353,35
04.01.2021 21:00:56;295,58;41,10;3.448,44;85,90;324,92
04.01.2021 22:00:56;298,86;41,37;3.311,54;103,28;318,14
04.01.2021 23:00:56;316,48;35,16;3.930,05;115,17;310,52
05.01.2021 00:00:56;300,49;34,28;2.178,49;72,40;142,66
05.01.2021 01:00:56;210,14;31,07;3.717,21;133,55;350,24
05.01.2021 02:00:56;317,70;33,90;3.219,64;73,10;370,68
05.01.2021 03:00:56;412,30;40,73;4.112,65;91,68;353,59
05.01.2021 04:00:56;410,14;30,16;2.692,96;84,47;175,04
05.01.2021 05:00:56;189,52;26,11;2.610,17;77,03;162,58
05.01.2021 06:00:56;162,60;19,51;2.009,58;94,05;143,77
05.01.2021 07:00:56;138,69;21,78;2.866,01;77,58;226,03
05.01.2021 08:00:56;234,16;20,63;1.727,22;92,30;216,31
05.01.2021 09:00:56;161,24;20,22;2.002,14;140,44;264,55
05.01.2021 10:00:56;198,82;29,61;1.720,82;124,21;235,95
05.01.2021 11:00:56;284,50;23,06;1.980,70;105,94;172,35
05.01.2021 12:00:56;189,87;17,27;1.132,58;79,47;106,48
05.01.2021 13:00:56;151,06;11,18;456,48;62,72;77,07
05.01.2021 14:00:56;95,61;6,34;239,94;62,09;70,47
05.01.2021 15:00:56;87,20;4,40;88,27;50,24;55,83
05.01.2021 16:00:56;77,29;2,98;203,22;69,70;89,48
05.01.2021 17:00:56;124,59;7,58;885,73;107,52;178,24
05.01.2021 18:00:56;168,74;13,95;1.958,72;136,37;285,92
05.01.2021 19:00:56;232,16;16,15;2.137,62;140,34;264,16
05.01.2021 20:00:56;224,29;16,92;1.374,12;73,68;139,66
05.01.2021 21:00:56;114,25;12,61;792,41;72,71;91,95
05.01.2021 22:00:56;98,37;14,32;926,54;72,07;94,80
05.01.2021 23:00:56;118,40;18,65;1.974,51;88,76;132,56
06.01.2021 00:00:56;135,51;18,23;1.422,55;75,26;114,89
06.01.2021 01:00:56;112,10;21,17;1.984,86;72,65;146,50
06.01.2021 02:00:56;111,97;17,17;1.268,79;54,71;68,71
06.01.2021 03:00:56;58,58;18,50;1.771,08;86,44;108,74
06.01.2021 04:00:56;123,05;15,24;1.494,62;66,05;94,47
06.01.2021 05:00:56;124,03;16,30;1.477,53;65,00;91,72
06.01.2021 06:00:56;75,44;17,63;1.908,94;66,60;98,81
06.01.2021 07:00:56;59,43;15,97;2.566,43;80,87;163,63
06.01.2021 08:00:56;89,11;19,99;2.024,38;79,14;151,40
06.01.2021 09:00:56;87,09;19,90;2.585,89;101,44;204,92
06.01.2021 10:00:56;144,30;25,98;3.181,23;127,84;274,76
06.01.2021 11:00:56;390,76;31,06;1.900,17;91,50;174,84
06.01.2021 12:00:56;235,80;29,60;1.119,76;90,03;142,84
06.01.2021 13:00:56;228,09;24,13;654,73;83,19;109,44
06.01.2021 14:00:56;165,84;21,30;308,52;64,78;78,90
06.01.2021 15:00:56;121,26;14,84;0,00;48,74;54,56
06.01.2021 16:00:56;85,03;12,03;0,05;48,07;51,83
06.01.2021 17:00:56;87,89;10,84;143,13;78,71;107,16
06.01.2021 18:00:56;159,87;16,39;1.285,59;83,36;214,80
06.01.2021 19:00:56;224,16;25,53;1.665,43;83,26;200,49
06.01.2021 20:00:56;224,06;24,48;1.370,42;73,38;164,65
06.01.2021 21:00:56;161,84;28,05;1.957,43;85,26;191,24
06.01.2021 22:00:56;185,25;25,64;2.570,38;70,22;276,70
06.01.2021 23:00:56;236,51;34,87;2.990,72;66,48;189,44
07.01.2021 00:00:56;207,89;27,10;2.253,43;91,75;150,92
07.01.2021 01:00:56;184,06;31,62;2.517,23;88,12;242,35
07.01.2021 02:00:56;236,42;26,07;2.173,81;79,34;171,01
07.01.2021 03:00:56;181,67;24,88;1.949,83;62,16;122,25
07.01.2021 04:00:56;139,21;21,75;2.230,48;75,28;114,38
07.01.2021 05:00:56;113,72;17,18;1.780,72;80,25;110,43
07.01.2021 06:00:56;83,86;19,90;2.208,69;121,25;194,36
07.01.2021 07:00:56;229,66;30,29;3.074,49;113,16;301,49
07.01.2021 08:00:56;274,79;32,69;3.203,84;89,83;410,94
07.01.2021 09:00:56;387,70;38,71;3.086,63;111,92;433,70
07.01.2021 10:00:56;691,12;50,99;3.442,33;130,77;413,42
07.01.2021 11:00:56;590,25;50,83;3.053,97;135,93;355,44
07.01.2021 12:00:56;744,34;41,63;948,16;83,21;152,73
07.01.2021 13:00:56;291,53;23,79;145,31;65,54;98,63
07.01.2021 14:00:56;172,13;18,57;0,00;49,89;60,60
07.01.2021 15:00:56;89,36;12,99;0,00;51,33;57,45
07.01.2021 16:00:56;87,97;14,51;0,00;57,09;64,09
07.01.2021 17:00:56;107,43;12,04;89,78;109,73;144,81
07.01.2021 18:00:56;155,59;19,86;962,48;128,48;316,05
07.01.2021 19:00:56;371,65;30,01;2.463,32;117,05;496,36
07.01.2021 20:00:56;420,74;39,89;2.300,77;164,65;433,85
07.01.2021 21:00:56;367,61;41,66;3.303,74;153,47;560,40
07.01.2021 22:00:56;418,45;43,54;3.872,08;128,96;492,37
07.01.2021 23:00:56;413,20;38,53;3.498,07;110,55;347,78
08.01.2021 00:00:56;286,74;35,38;4.194,15;168,33;438,05
08.01.2021 01:00:56;347,05;33,89;3.715,11;182,19;410,78
08.01.2021 02:00:56;413,13;36,82;4.411,72;134,95;360,65
08.01.2021 03:00:56;363,52;33,41;2.315,70;80,25;237,14
08.01.2021 04:00:56;305,67;28,29;1.806,64;81,49;164,53
08.01.2021 05:00:56;249,61;19,05;1.248,15;64,05;137,47
08.01.2021 06:00:56;227,60;18,41;1.602,19;71,91;143,05
08.01.2021 07:00:56;236,71;17,79;2.108,98;85,30;267,17
08.01.2021 08:00:56;309,84;26,39;3.524,78;99,25;329,32
08.01.2021 09:00:56;280,92;32,81;5.279,43;149,08;605,31
08.01.2021 10:00:56;706,39;47,99;3.013,70;109,57;282,71
08.01.2021 11:00:56;479,10;36,38;1.540,08;87,25;186,18
08.01.2021 12:00:56;271,92;20,63;648,73;77,99;112,09
08.01.2021 13:00:56;126,14;8,58;0,00;51,62;61,95
08.01.2021 14:00:56;75,38;4,67;0,00;39,77;43,81
08.01.2021 15:00:56;63,32;2,36;0,00;30,98;32,75
08.01.2021 16:00:56;49,40;1,50;0,00;32,57;34,74
08.01.2021 17:00:56;49,97;1,25;0,00;38,37;41,52
08.01.2021 18:00:56;57,77;1,33;0,20;43,16;47,23
08.01.2021 19:00:56;61,89;1,22;114,92;63,18;75,90
08.01.2021 20:00:56;71,71;2,93;100,61;59,08;62,74
08.01.2021 21:00:56;69,09;3,39;292,06;82,65;94,61
08.01.2021 22:00:56;87,45;11,95;1.128,99;98,57;127,05
08.01.2021 23:00:56;133,65;22,04;1.727,20;85,97;105,67
09.01.2021 00:00:56;128,20;18,16;1.646,45;76,09;94,06
09.01.2021 01:00:56;122,26;19,58;1.645,83;73,28;89,97
09.01.2021 02:00:56;111,32;18,51;1.658,92;75,21;110,60
09.01.2021 03:00:56;220,75;21,85;1.554,07;63,26;82,05
09.01.2021 04:00:56;174,47;14,29;921,61;48,79;59,98
09.01.2021 05:00:56;143,86;14,93;1.117,71;51,22;62,73
09.01.2021 06:00:56;134,26;12,52;1.220,88;54,49;86,38
09.01.2021 07:00:56;115,55;16,15;1.395,40;85,30;146,71
09.01.2021 08:00:56;154,82;18,06;2.452,75;101,14;221,37
09.01.2021 09:00:56;239,53;24,37;1.804,48;74,45;167,59
09.01.2021 10:00:56;185,67;26,10;2.013,29;72,18;159,04
09.01.2021 11:00:56;232,56;19,79;590,70;59,69;77,96
09.01.2021 12:00:56;150,47;12,17;130,12;41,04;49,57
09.01.2021 13:00:56;60,59;8,38;0,00;26,57;28,46
09.01.2021 14:00:56;46,34;6,16;0,00;21,69;23,26
09.01.2021 15:00:56;39,20;7,01;0,00;19,76;20,85
09.01.2021 16:00:56;35,11;5,70;0,00;20,78;22,16
09.01.2021 17:00:56;40,83;6,65;0,00;30,50;31,91
09.01.2021 18:00:56;48,77;7,74;0,00;39,35;41,29
09.01.2021 19:00:56;71,34;7,97;0,00;27,92;29,02
09.01.2021 20:00:56;52,57;7,02;36,56;28,15;29,13
09.01.2021 21:00:56;55,89;8,11;19,54;31,98;33,14
09.01.2021 22:00:56;53,09;6,93;0,00;26,16;27,09
09.01.2021 23:00:56;45,23;8,75;318,16;31,43;32,47
10.01.2021 00:00:56;43,06;8,28;327,90;26,83;27,76
10.01.2021 01:00:56;37,26;8,02;489,56;30,25;31,34
10.01.2021 02:00:56;41,86;9,19;669,79;34,02;34,86
10.01.2021 03:00:56;74,05;9,96;943,04;38,08;39,13
10.01.2021 04:00:56;83,74;10,99;1.262,46;39,52;41,49
10.01.2021 05:00:56;88,86;10,96;1.060,45;42,32;45,12
10.01.2021 06:00:56;85,11;9,68;1.176,07;44,16;52,30
10.01.2021 07:00:56;81,11;11,36;1.201,37;58,64;76,99
10.01.2021 08:00:56;111,11;12,46;1.031,93;48,44;75,74
10.01.2021 09:00:56;92,57;14,03;1.009,80;50,74;78,88
10.01.2021 10:00:56;154,16;11,63;641,23;37,37;65,81
10.01.2021 11:00:56;103,55;10,11;475,23;46,92;63,97
10.01.2021 12:00:56;113,66;10,66;193,67;39,22;46,02
10.01.2021 13:00:56;95,55;7,51;0,01;27,05;29,35
10.01.2021 14:00:56;116,37;5,22;0,00;21,02;22,48
10.01.2021 15:00:56;122,83;4,21;0,00;18,39;20,31
10.01.2021 16:00:56;117,17;3,26;0,00;17,20;18,68
10.01.2021 17:00:56;120,89;3,82;16,17;21,42;22,81
10.01.2021 18:00:56;119,06;5,87;56,63;30,18;31,39
10.01.2021 19:00:56;133,57;7,33;541,45;74,57;120,21
10.01.2021 20:00:56;157,31;10,92;775,80;60,09;80,20
10.01.2021 21:00:56;157,03;10,04;316,82;40,98;47,79
10.01.2021 22:00:56;117,18;8,79;1.004,93;64,01;85,86
10.01.2021 23:00:56;149,99;11,97;2.228,16;72,85;114,78
11.01.2021 00:00:56;221,90;15,16;2.735,10;77,11;122,81
11.01.2021 01:00:56;264,15;14,51;2.690,60;71,87;123,64
11.01.2021 02:00:56;246,57;14,08;1.238,36;48,90;69,00
11.01.2021 03:00:56;171,21;8,91;1.063,25;37,89;51,38
11.01.2021 04:00:56;143,75;10,30;1.291,88;45,95;62,05
11.01.2021 05:00:56;139,11;7,60;1.326,78;47,00;66,65
11.01.2021 06:00:56;123,46;9,62;1.579,10;53,84;95,55
11.01.2021 07:00:56;131,74;8,50;1.506,41;49,89;113,43
11.01.2021 08:00:56;165,99;12,85;1.304,26;64,64;136,31
11.01.2021 09:00:56;190,31;10,19;1.438,55;83,02;156,86
11.01.2021 10:00:56;166,72;15,64;1.996,21;105,68;230,79
11.01.2021 11:00:56;299,06;21,54;2.407,09;107,53;299,66
11.01.2021 12:00:56;353,51;29,81;4.023,63;136,06;386,16
11.01.2021 13:00:56;488,06;35,98;2.218,16;109,82;330,18
11.01.2021 14:00:56;490,06;36,50;1.214,62;125,35;267,53
11.01.2021 15:00:56;412,30;29,02;1.505,56;137,38;309,59
11.01.2021 16:00:56;484,79;31,23;2.276,05;153,68;367,28
11.01.2021 17:00:56;521,97;32,36;2.070,82;126,86;340,69
11.01.2021 18:00:56;383,14;28,66;2.988,61;167,93;466,95
11.01.2021 19:00:56;412,02;39,96;4.578,45;169,14;579,19
11.01.2021 20:00:56;480,99;46,86;5.977,24;160,83;715,26
11.01.2021 21:00:56;481,06;51,95;5.987,66;146,55;608,47
11.01.2021 22:00:56;431,47;45,00;4.750,61;99,06;415,91
11.01.2021 23:00:56;336,76;41,29;5.782,00;108,68;471,76
12.01.2021 00:00:56;381,59;42,21;6.500,14;136,70;503,18
12.01.2021 01:00:56;393,52;42,69;6.329,92;152,78;438,53
12.01.2021 02:00:56;388,17;41,61;6.182,04;136,84;418,55
12.01.2021 03:00:56;369,55;33,20;4.662,04;109,42;288,39
12.01.2021 04:00:56;275,76;33,72;4.905,51;96,99;301,45
12.01.2021 05:00:56;312,82;31,99;4.955,18;102,74;355,38
12.01.2021 06:00:56;347,99;38,32;5.469,50;101,14;411,48
12.01.2021 07:00:56;427,67;39,05;5.307,91;166,83;517,04
12.01.2021 08:00:56;451,39;42,18;5.843,55;171,49;531,99
12.01.2021 09:00:56;309,22;42,40;5.129,19;128,58;466,69
12.01.2021 10:00:56;448,92;32,05;1.701,00;76,72;160,75
12.01.2021 11:00:56;121,80;19,62;1.198,15;62,26;114,01
12.01.2021 12:00:56;121,71;13,57;656,40;58,99;86,66
12.01.2021 13:00:56;108,40;6,95;132,95;48,43;64,20
12.01.2021 14:00:56;110,91;2,30;0,00;37,63;41,68
12.01.2021 15:00:56;70,16;1,67;0,00;36,89;41,28
12.01.2021 16:00:56;57,33;1,78;0,00;41,25;46,02
12.01.2021 17:00:56;73,53;0,31;0,00;36,79;39,11
12.01.2021 18:00:56;96,37;0,23;0,03;39,20;42,77
12.01.2021 19:00:56;80,47;1,48;86,85;36,68;38,90
12.01.2021 20:00:56;68,33;-0,11;127,98;32,03;33,60
12.01.2021 21:00:56;58,28;0,40;113,14;24,67;25,78
12.01.2021 22:00:56;47,30;5,00;130,51;17,71;18,70
12.01.2021 23:00:56;46,03;8,33;134,53;17,93;19,41
13.01.2021 00:00:56;47,94;9,23;154,23;13,49;14,29
13.01.2021 01:00:56;54,69;8,19;231,38;11,45;12,25
13.01.2021 02:00:56;49,17;8,12;338,81;11,32;11,95
13.01.2021 03:00:56;55,81;7,46;173,43;9,45;10,47
13.01.2021 04:00:56;56,00;5,93;82,09;9,68;10,43
13.01.2021 05:00:56;83,23;7,02;190,98;9,19;9,98
13.01.2021 06:00:56;91,78;7,59;242,59;10,30;10,97
13.01.2021 07:00:56;55,05;5,84;165,36;16,66;17,69
13.01.2021 08:00:56;75,39;7,51;214,82;24,80;26,48
13.01.2021 09:00:56;61,41;7,03;215,76;28,92;31,43
13.01.2021 10:00:56;72,67;7,36;146,00;24,48;26,23
13.01.2021 11:00:56;-;-;-;-;-
13.01.2021 12:00:56;194,54;5,18;159,74;20,52;21,89
13.01.2021 13:00:56;60,92;5,57;178,33;24,43;26,13
13.01.2021 14:00:56;29,75;7,40;109,35;23,30;25,17
13.01.2021 15:00:56;16,34;6,39;514,01;40,59;45,31
13.01.2021 16:00:56;28,66;7,77;648,18;40,17;45,26
13.01.2021 17:00:56;36,79;5,74;661,05;38,68;44,85
13.01.2021 18:00:56;33,10;8,55;1.222,78;62,16;88,85
13.01.2021 19:00:56;59,30;10,62;1.101,00;62,65;97,03
13.01.2021 20:00:56;75,59;12,52;1.235,40;61,97;96,36
13.01.2021 21:00:56;78,92;9,62;700,89;52,39;60,80
13.01.2021 22:00:56;65,36;7,27;711,84;39,86;43,29
13.01.2021 23:00:56;41,62;6,86;508,62;24,90;26,46
14.01.2021 00:00:56;25,41;4,83;391,37;22,54;23,20
14.01.2021 01:00:56;28,90;4,55;649,03;22,21;23,06
14.01.2021 02:00:56;35,82;4,73;391,84;19,76;20,58
14.01.2021 03:00:56;35,03;5,26;842,42;26,65;27,81
14.01.2021 04:00:56;44,74;7,20;802,50;30,57;32,82
14.01.2021 05:00:56;71,30;8,23;1.215,53;42,15;47,47
14.01.2021 06:00:56;85,64;9,68;793,18;32,24;40,70
14.01.2021 07:00:56;87,95;8,30;904,34;36,05;42,54
14.01.2021 08:00:56;48,06;5,57;1.089,26;54,24;87,37
14.01.2021 09:00:56;70,38;10,74;1.533,01;61,17;119,74
14.01.2021 10:00:56;210,30;12,26;1.365,25;65,83;126,52
14.01.2021 11:00:56;269,53;14,93;1.355,70;70,01;121,97
14.01.2021 12:00:56;248,59;13,50;913,52;66,90;95,87
14.01.2021 13:00:56;187,60;10,00;514,59;44,97;59,53
14.01.2021 14:00:56;61,31;7,63;169,59;27,61;30,70
14.01.2021 15:00:56;23,91;6,18;216,33;31,43;35,51
14.01.2021 16:00:56;26,90;7,85;325,77;28,32;30,75
14.01.2021 17:00:56;19,21;5,26;131,96;26,22;28,33
14.01.2021 18:00:56;30,69;5,09;488,20;49,76;77,53
14.01.2021 19:00:56;60,22;8,97;862,54;67,82;103,57
14.01.2021 20:00:56;82,43;7,85;982,96;66,23;94,38
14.01.2021 21:00:56;93,72;11,41;1.150,50;75,52;101,92
14.01.2021 22:00:56;98,87;9,99;1.420,75;71,65;95,36
14.01.2021 23:00:56;90,23;5,32;782,90;54,99;75,53
15.01.2021 00:00:56;100,72;3,63;208,54;39,79;43,33
15.01.2021 01:00:56;71,72;3,39;464,06;38,63;41,65
15.01.2021 02:00:56;72,95;3,37;268,94;34,01;36,45
15.01.2021 03:00:56;49,62;4,31;376,70;34,17;51,85
15.01.2021 04:00:56;60,69;7,67;1.231,57;41,98;75,44
15.01.2021 05:00:56;164,26;9,22;852,71;33,91;44,15
15.01.2021 06:00:56;57,90;3,80;530,07;30,44;33,23
15.01.2021 07:00:56;32,59;2,99;463,77;50,36;85,63
15.01.2021 08:00:56;165,46;8,25;1.032,50;55,63;138,35
15.01.2021 09:00:56;275,18;16,73;1.191,73;57,96;130,14
15.01.2021 10:00:56;234,16;10,43;497,54;48,60;80,31
15.01.2021 11:00:56;161,89;9,25;852,17;38,76;61,50
15.01.2021 12:00:56;130,78;6,75;649,24;51,65;73,48
15.01.2021 13:00:56;132,92;6,08;521,54;53,00;65,15
15.01.2021 14:00:56;91,11;3,79;458,85;55,51;81,93
15.01.2021 15:00:56;111,43;1,87;271,50;34,74;41,45
15.01.2021 16:00:56;32,12;0,55;68,87;19,68;21,40
15.01.2021 17:00:56;11,49;-1,52;80,30;28,07;30,22
15.01.2021 18:00:56;24,64;-1,17;84,81;39,54;44,45
15.01.2021 19:00:56;25,00;0,82;438,32;46,34;58,33
15.01.2021 20:00:56;35,72;-0,63;186,96;29,06;31,07
15.01.2021 21:00:56;26,26;-0,13;350,42;19,15;20,24
15.01.2021 22:00:56;24,05;1,65;662,75;17,57;18,31
15.01.2021 23:00:56;19,13;5,01;342,79;21,45;22,34
16.01.2021 00:00:56;17,05;5,40;354,68;18,57;19,47
16.01.2021 01:00:56;17,98;2,23;122,56;15,85;16,67
16.01.2021 02:00:56;12,16;2,29;0,00;18,04;18,55
16.01.2021 03:00:56;23,69;3,71;25,60;19,21;20,12
16.01.2021 04:00:56;19,13;3,74;225,68;23,23;24,05
16.01.2021 05:00:56;37,51;1,33;2,31;20,03;20,75
16.01.2021 06:00:56;38,00;2,29;0,00;20,51;21,34
16.01.2021 07:00:56;35,08;3,35;150,09;29,48;32,92
16.01.2021 08:00:56;41,82;3,78;323,24;43,20;55,26
16.01.2021 09:00:56;68,30;7,45;153,83;39,83;45,30
16.01.2021 10:00:56;55,36;7,87;214,60;29,36;33,44
16.01.2021 11:00:56;50,13;4,70;202,29;24,95;28,47
16.01.2021 12:00:56;60,72;6,52;281,55;27,05;31,40
16.01.2021 13:00:56;89,25;6,17;131,67;27,69;32,91
16.01.2021 14:00:56;107,53;6,65;190,72;28,59;34,05
16.01.2021 15:00:56;105,08;9,46;9,47;31,64;38,13
16.01.2021 16:00:56;128,38;7,27;0,89;32,39;37,12
16.01.2021 17:00:56;98,80;8,50;25,34;37,89;42,57
16.01.2021 18:00:56;111,64;7,66;0,00;40,63;46,23
16.01.2021 19:00:56;125,64;7,45;162,25;40,12;42,55
16.01.2021 20:00:56;124,05;8,19;15,28;39,91;45,17
16.01.2021 21:00:56;129,84;8,48;156,12;28,35;30,31
16.01.2021 22:00:56;110,52;8,03;0,00;28,33;30,75
16.01.2021 23:00:56;76,88;8,21;427,35;29,15;32,37
17.01.2021 00:00:56;50,67;11,34;417,51;25,00;25,94
17.01.2021 01:00:56;24,63;7,78;225,07;13,83;14,55
17.01.2021 02:00:56;9,39;7,45;441,90;13,84;14,63
17.01.2021 03:00:56;8,03;6,57;353,10;18,46;19,13
17.01.2021 04:00:56;23,59;7,41;633,27;26,19;27,09
17.01.2021 05:00:56;37,64;6,14;529,21;30,02;31,13
17.01.2021 06:00:56;30,21;7,50;581,29;31,41;39,00
17.01.2021 07:00:56;17,34;5,42;431,56;34,30;47,32
17.01.2021 08:00:56;32,59;5,87;548,74;32,53;40,81
17.01.2021 09:00:56;39,82;5,00;690,48;33,21;41,65
17.01.2021 10:00:56;34,16;7,07;604,54;23,91;26,79
17.01.2021 11:00:56;25,23;7,45;427,20;21,38;24,95
17.01.2021 12:00:56;28,90;4,69;51,24;28,48;35,50
17.01.2021 13:00:56;42,64;7,32;178,17;32,27;39,82
17.01.2021 14:00:56;43,97;5,18;168,50;26,45;31,82
17.01.2021 15:00:56;36,21;6,65;214,32;24,61;27,71
17.01.2021 16:00:56;22,36;5,44;124,55;22,01;23,22
17.01.2021 17:00:56;17,13;7,17;94,85;17,75;19,29
17.01.2021 18:00:56;15,05;7,34;306,22;19,64;20,68
17.01.2021 19:00:56;20,84;7,20;462,12;18,02;18,97
17.01.2021 20:00:56;19,05;6,80;473,68;16,71;17,68
17.01.2021 21:00:56;14,13;5,99;456,44;15,53;16,51
17.01.2021 22:00:56;12,05;3,07;446,63;17,83;18,88
17.01.2021 23:00:56;22,72;-0,09;282,56;19,82;20,77
18.01.2021 00:00:56;20,08;0,10;171,20;18,05;19,30
