name;WKT
OTOBÜS 11 KÜLTÜRPARK;POINT Z (32.48961427094916 37.87397075518203 0)
OTOBÜS 12 ADALHAN KAVÞAÐI;POINT Z (32.48224696957136 37.87360042435787 0)
OTOBÜS 14 15 17 AÖF ANIT HAST;POINT Z (32.48562802236945 37.86725711497603 0)
OTOBÜS 18 ÖÐRETMEN EVÝ;POINT Z (32.49436963600846 37.87348952644057 0)
OTOBÜS 19 KAYALIPARK;POINT Z (32.4987676420697 37.87202714445097 0)
OTOBÜS 21 ESKÝ GARAJ PETROL;POINT Z (32.50077752318055 37.86505557856584 0)
OTOBÜS 22 ESKÝ GARJ;POINT Z (32.50264607901472 37.86537651984331 0)
OTOBÜS 24 MEVLANA;POINT Z (32.50438975485366 37.87139513843842 0)
OTOBÜS 26 SAMAN PAZARI HAREKET MERKEZÝ;POINT Z (32.54436393957953 37.8686942195018 0)
OTOBÜS 27 ALAKOVA HAREKET MERKEZÝ;POINT Z (32.50176135294766 37.77293107438651 0)
OTOBÜS 30 SGK HASTENE CÝVARI;POINT Z (32.44528532492443 37.86174839066469 0)
OTOBÜS 32 NÜ KÖYÇEYÝZ YERLEÞKESÝ;POINT Z (32.42115362112443 37.86708141308063 0)
OTOBÜS 33 BEYÞEHÝR YOLU KOSKÝ;POINT Z (32.42835144035489 37.87427362744244 0)
01 EVLÝYA ÇELEBÝ PARKI;POINT Z (32.45495635301966 37.8653330752727 0)
02  KONEVÝ;POINT Z (32.48638555784972 37.86987750143818 0)
03 ÇAMLIBEL;POINT Z (32.42097170234855 37.85335885584648 0)
04 TAVUSBABA;POINT Z (32.41782775262964 37.84942938683988 0)
05 AKYOKUÞ;POINT Z (32.42493887197028 37.88015008084696 0)
06 ÞEFÝKCAN;POINT Z (32.46422328901596 37.88747289271705 0)
07 ECDAT PARKI;POINT Z (32.50002250406949 37.9518780791355 0)
08 JAPON PARKI;POINT Z (32.51996008122769 37.97847054780424 0)
01 OTOGAR ÝÇÝ PARK;POINT Z (32.50937924481967 37.94982471429326 0)
02 FATÝH ENDÜSTRÝ MESLEK LÝSESÝ;POINT Z (32.48618404309078 37.89889484915783 0)
03 SÝLLE DEDEMAN;POINT Z (32.47630086888454 37.89226912805888 0)
