ID,AD,ENLEM,BOYLAM
4203,Adana Cevreyolu Cd. - Cemil Cicek Cad.,37.8605148218948,32.54658086691052
4201,Ali Ulvi Kurucu - Ankara Cad.,37.88791275031765,32.49965522205457
4202,Medicana Hastanesi - Tramvay Duragi,37.89358128657729,32.49758625403047
4204,Hudai Caddesi - Aslim Caddesi,37.90295000287333,32.55316364695319
4205,Ankara Caddesi Busan OSB,37.92894014709568,32.530994937988005
4206,Ataturk Caddesi - Allaaddin Bulvari,37.870878891857174,32.49071833211929
4207,Antalya Cevreyolu - Dutlu Cad,37.81354200461694,32.39206916769036
4210,Yeni Sille Caddesi - Otobus Hareket Merkezi,37.913778223339605,32.451284568523995
4217,Borsa Kavsagi - Adana Kavsagi,37.91210158142577,32.52275537000969
4219,Konya Buyuksehir Stadyumu,37.94802233294247,32.49311277992093
4220,Aliya Izzet Begovic Caddesi,37.99705522565271,32.58574260631576
4221,Otogar,37.9485738284297,32.507246303139254
4222,Lalebahce - Hatip Caddesi,37.842514008293925,32.45493657421321
4223,Konya Buyuksehir Belediyesi Spor ve Kongre Merkezi,37.869037465508164,32.53561155404896
4225,Havalimani,37.98251828039931,32.58700019563549
4226,Binkonut,37.94164438967797,32.511849403381355
4227,Akincilar,37.90225752227464,32.465456061763696
4228,Atlihan,37.8805935501886,32.440124232089154
4229,Aziz Fatih,37.874885151693086,32.448793351650245
4230,Yaka Fatih,37.8701839426175,32.44566054199823
4231,Konya Egitim ve Arastirma Hastanesi,37.86200826894512,32.44593034498394
4232,Havzan,37.868592558274635,32.469832483911894
4233,Istasyon,37.866345860190265,32.47701772372239
4234,Ata Petrol,37.87715966224494,32.49394834041596
4235,Fenni Firin,37.87369672540834,32.501395616855014
4236,Mevlana Turbesi,37.86993748235355,32.503549454268075
4237,Aslanli Kisla Ali Ulvi Kurucu Cd.,37.87056502248065,32.51456054043957
4238,Ali Ulvi Kurucu - Sedirler Caddesi,37.877117273845364,32.51276451337617
4239,Fetih - Sedirler Caddesi,37.88536895583776,32.52678918186575
4240,Fetih - Karakayis Caddesi,37.89411911799625,32.514336780295714
4241,Kule,37.88784567304668,32.495181920821786
4242,Nalcaci,37.881798644178446,32.48971907305532
4243,Belediye,37.876776108573075,32.48733822751092
4244,Form,37.87065470932957,32.4844633761677
4245,Tarim Il Mudurlugu,37.863060756840895,32.480971648183186
4246,Azerbaycan Erencik,37.85592471576073,32.47044778370764
4247,Antalya Cevre Yolu - Harmancik Cad.,37.828598986796955,32.47715995907892
4248,Harmancik Sokak - Hatip Caddesi,37.83048144907313,32.447421520919306
4249,Karaman Yolu Sakalak,37.8436633553223,32.51061664544978
4250,Hakimiyet Kavsagi,37.866230094816956,32.501104274997495
