ID,AD,DURUM,ENLEM,BOYLAM,TIP
285,Elmali Hamdi Gulvatan,Pasif,37.96227019418505,32.49456023617494,Sabit
42-108,Eregli Organize Sanayii,Pasif,37.563484234419846,33.96987327683561,Sabit
287,Baris Cad. Seda,Pasif,37.9342415583616,32.49308332800866,Sabit
288,Veysel Karani Sel.Bel.Yuzme Havuzu,Pasif,37.95401039396461,32.52277940511704,Sabit
291,Malas - Yegenoglu,Pasif,37.89243425191903,32.4877144408032,Sabit
293,Saracoglu Ahmet Hashas IOO,Pasif,37.825973009663485,32.56598174571992,Sabit
294,Orman Bolge Mudurlugu,Pasif,37.86473187721697,32.490866444750694,Sabit
295,Mithat Pasa IOO,Pasif,37.840896086993936,32.49447271227837,Sabit
297,Edipoglu Kerem Sk.,Pasif,37.94243335070471,32.48972252167579,Sabit
298,Adliye Beysehirliler Cami,Pasif,37.864584088490254,32.54322040124682,Sabit
299,Ahmet Yesevi Cad. Ramazanoglu Sok.,Pasif,37.9556970347379,32.46707260608674,Sabit
300,Cecenistan Kovanagzi,Pasif,37.85123529182376,32.4843554198742,Sabit
301,Fetih Cad. Karakayis,Pasif,37.89399049786498,32.51420974731446,Sabit
302,Fetih Cad. Kirbasi,Pasif,37.89147374462172,32.51812309026719,Sabit
303,Fetih Cad. Kececiler,Pasif,37.88891615681496,32.5218889117241,Sabit
304,Fetih Cad. Sedirler,Pasif,37.88537518252721,32.52662837505341,Sabit
305,Fetih Cad. Aslanli Kisla,Pasif,37.87000058522528,32.526075839996345,Sabit
306,Fetih Cad. Cimenlik,Pasif,37.86257042652126,32.5250592827797,Sabit
307,Fetih Cad. Kucuk Kumkopru,Pasif,37.85799316905359,32.52228721976281,Sabit
308,Fetih Cad. Buyuk Kumkopru,Pasif,37.85391172672347,32.51585327088833,Sabit
309,Seyh Ulema Recepaga,Pasif,37.87778143866985,32.527462542057044,Sabit
310,Alaaddin Kap,Pasif,37.86669638515097,32.524825930595405,Sabit
311,Lalebahce. Naim Sk.,Pasif,37.83391209397879,32.451676726341255,Sabit
312,Eski Meram Cad. Erencik,Pasif,37.85972224744072,32.46826887130738,Sabit
345,Ozel Harekat,Pasif,37.86510235155399,32.57916144582248,Sabit
42-006,Karapinar Giris,Pasif,37.71366995246163,33.53027611970902,Sabit
42-007,Karapinar Otogar,Pasif,37.71027705982954,33.53950023651124,Sabit
346,Basak Kececiler,Pasif,37.89526048365895,32.52881973981858,Sabit
42-008,Karapinar Cetmi,Pasif,37.70665060776879,33.550376535200314,Sabit
42-024,Karapinar Cumhuriyet,Pasif,37.713833333614524,33.53750467300416,Sabit
42-025,Karapinar Akyildiz,Pasif,37.71418131305109,33.54220390319825,Sabit
42-026,Karapinar Halkbankasi,Pasif,37.71530204162195,33.54662732165916,Sabit
42-027,Karapinar Dortyol Hst.,Pasif,37.71527192355043,33.55378829294775,Sabit
42-028,Karapinar Toki,Pasif,37.70889675130994,33.533294271507465,Sabit
349,Yaka Saraybaglar,Hata Flasi,37.86755288699627,32.4330085515976,Master
42-074,Karapinar Sanayii,Pasif,37.71485178192616,33.515218151552645,Sabit
42-087,Karapinar Zafer Cd.,Pasif,37.71554775568737,33.551390469074256,Sabit
314,Selcuklu Tip Gokkusagi Yaya,Pasif,38.02183565692559,32.51326024532319,Sabit
42-088,Karapinar Gazi M.Kemal,Pasif,37.70848188306365,33.55696141719819,Sabit
315,Veysel Karani Panel Sk.,Pasif,37.99906687369832,32.52651572227479,Sabit
316,Safak Cad. Hassahin Sk.,Pasif,37.984471818951555,32.512263804674156,Sabit
42-076,Beysehir Esrefoglu,Pasif,37.67942835107912,31.721995174884796,Sabit
317,Mevlana Muzesi Gulbahce,Pasif,37.87042617151535,32.50626772642136,Sabit
42-077,Beysehir Orman Md.,Pasif,37.674764378447996,31.719455122947696,Sabit
42-078,Beysehir Sanayii,Pasif,37.68203296625515,31.741419730839276,Sabit
42-079,Beysehir Postane,Pasif,37.67792747389432,31.724658618824762,Sabit
42-080,Beysehir Gulluoglu,Pasif,37.67685545386851,31.7230036854744,Sabit
42-081,Beysehir Hastane,Pasif,37.67557742304824,31.725798548999293,Sabit
318,Ayse Kemersah,Pasif,37.82791681374305,32.50529944896699,Sabit
42-104,Beysehir Cevik Sit.,Pasif,37.66913194020651,31.731997108062284,Sabit
42-111,Beysehir Ogretmenevi,Pasif,37.66857780896917,31.713849283598858,Sabit
319,Karaman Yolu Asarcayi,Pasif,37.80387572122283,32.52203643321992,Sabit
320,Karaman Yolu Aymek,Pasif,37.77278614574173,32.53238439559937,Sabit
42-052,Bozkir Sarioglan,Sabit Sureli Faz,37.214574549064395,32.55338072776795,Maestro
321,Gulistan Alt Gecit,Pasif,37.939556568467005,32.54148244857789,Sabit
322,Cimento Fabrikasi,Pasif,37.941424399154485,32.538301348686225,Sabit
324,Karatay Akcesme IO,Pasif,37.86738455182013,32.50678941607476,Sabit
42-083,Bozkir Seydisehir Ayrimi,Pasif,37.186219573337745,32.232912983109685,Sabit
325,Lalebahce Kanal,Pasif,37.83993971938264,32.454769313335426,Sabit
42-110,Bozkir Kaymakamlik,Pasif,37.19104445783264,32.25046813488007,Sabit
326,Edipoglu Demircan,Pasif,37.929266783814626,32.487902641296394,Sabit
42-010,Cihanbeyli Otogar,Pasif,38.65575417107989,32.9186573624611,Sabit
327,Cemil Cicek Cad. Sht. Huseyin Ceran,Pasif,37.86115587996223,32.535776048898704,Sabit
42-011,Cihanbeyli Belediye,Pasif,38.657279669750864,32.92191261859242,Sabit
328,Gazeteciler Cemiyeti,Pasif,37.8720345363485,32.477343063275484,Sabit
42-012,Cihanbeyli Inonu Blv.,Pasif,38.65638094466156,32.92149712703223,Sabit
42-115,Cihanbeyli Devlet Hastanesi,Sabit Sureli Faz,38.66551630544006,32.92046248912812,Maestro
42-112,Celtik Belediye,Pasif,39.023615804736274,31.790524095514183,Sabit
329,Ziyaulhak Maun Sk.,Pasif,37.90817182029098,32.495235130190856,Sabit
42-113,Celtik Hastane,Pasif,39.0212675160859,31.79108350603361,Sabit
42-114,Celtik Ozdogru Petrol,Pasif,39.015276125853084,31.791432898687297,Sabit
331,Ahmet Yesevi Kutbilcihan,Pasif,37.958903131604934,32.47467666864396,Sabit
42-017,Cumra Bozkir Ayrimi,Yesil Dalga,37.577135749437126,32.6555997583409,Maestro
332,Cimento Hammadde,Pasif,37.94415096596886,32.53535360097886,Sabit
42-018,Cumra Karaman Yolu,Yesil Dalga,37.57981213913924,32.65386700630189,Maestro
334,Beyhekim Saraybosna,Pasif,37.951858416751286,32.492891550064094,Sabit
42-102,Cumra Istiklal Cad.,Pasif,37.57325820957676,32.78031836031747,Sabit
42-106,Cumra Sehit Kocak,Pasif,37.57258553716049,32.77114160136502,Sabit
336,Toki II. Etap,Pasif,37.74968359633592,32.416464686393745,Sabit
42-109,Cumra Sircali,Pasif,37.57447328809697,32.75242568845615,Sabit
335,Toki I. Etap,Pasif,37.740805379239006,32.41704940795899,Sabit
42-101,Guneysinir Karasinir,Pasif,37.27759842684076,32.72308818311872,Sabit
337,Omer Halis Demir Tekke,Pasif,37.88286236874479,32.462252676486976,Sabit
42-021,Huyuk Kireli,Pasif,37.921728876070325,31.53654924183382,Sabit
42-058,Huyuk Ataturk Blv.,Pasif,37.920222850293705,31.538642083462978,Sabit
42-031,Ilgin Cukur Camii,Yesil Dalga,38.28180365355591,31.918112933635715,Maestro
339,Gazze Toki,Pasif,37.84776717491421,32.47229215982492,Sabit
42-032,Ilgin Halk Bankasi,Yesil Dalga,38.28164153279338,31.91601544618607,Maestro
42-033,Ilgin Orman Md.,Sekans,38.281616267187395,31.9111043214798,Maestro
340,Gazze Safranbolu,Pasif,37.83396928407168,32.47475173924041,Sabit
42-036,Ilgin Istasyon,Baglanti Yok,38.28944397340878,31.910219192504886,Maestro
42-038,Ilgin Hayvan Pazari,Sabit Sureli Faz,38.28540600982185,31.941204071044925,Maestro
42-099,Ilgin Akcamii,Yesil Dalga,38.27785159363342,31.90416812896729,Maestro
342,Selcuk Uni. Yurtlar,Pasif,38.0186766836424,32.50968217849732,Sabit
42-100,Ilgin Menderes Cad.,Yesil Dalga,38.276044880192416,31.89614471601918,Maestro
343,Aymanas Hacikaymak Camii,Pasif,37.84671381210041,32.49490726242927,Sabit
344,Aslim Gulistan,Pasif,37.92532734440135,32.56377965211869,Sabit
350,Zafer Ilkogretim,Pasif,37.84891931418335,32.498827212976515,Sabit
351,Kalfalar,Pasif,37.85156462298238,32.494109272956855,Sabit
352,Pirebi,Pasif,37.859914952991254,32.484221309423454,Sabit
42-082,Kadinhani Esen Sokak,Pasif,38.23854247588281,32.21526414155961,Sabit
42-005,Tavsancali Celep,Pasif,38.940585268033,32.99963593482972,Sabit
42-004,Tavsancali Belediye,Pasif,38.93715343083571,32.998876831588525,Sabit
353,Ahmet Ozcan Cecenistan,Pasif,37.8529666465652,32.48871803283692,Sabit
42-066,Seydisehir Karabulak,Pasif,37.448087261265776,31.859683148540704,Sabit
42-089,Seydisehir Tarasci,Pasif,37.46464835462299,31.828132867813114,Sabit
42-090,Seydisehir Bozkir Ayrimi,Pasif,37.41495806984905,31.875671236626275,Sabit
42-091,Seydisehir Marangozlar,Pasif,37.39506752805566,31.86095237731934,Sabit
42-103,Seydisehir Seyit Harun,Pasif,37.419510651335145,31.848369819689488,Sabit
42-105,Seydisehir Kaymakamlik,Pasif,37.42014635048901,31.845005428817394,Sabit
143,Selim Sultan Antalya Cevre Yolu,Yesil Dalga,37.83453066053906,32.5216555595398,Master
354,Elmali Hamdi - Dolunay,Pasif,37.96058648791033,32.50029712915421,Sabit
356,Meram Sanayi,Dinamik Faz,37.859142010103355,32.46084451675416,Master
357,Elmali Cad. YHT onu,Pasif,37.89688603350428,32.499607801437385,Sabit
42421,adliye,Yesil Dalga,37.8601669517971,32.54839181900025,Maestro
42422,sehir hast,Yesil Dalga,37.85555883746972,32.54697561264039,Maestro
358,Cosandere,Dinamik Faz,37.993609804378764,32.523482143878944,Maestro
11302,Ataseven,Dinamik Faz,37.905357176220335,32.49355137348176,Maestro
42116,Guneysinir Bozkir Kavsagi,Sabit Sureli Faz,37.29134129054772,32.717553377151496,Maestro
42-118,Kadinhani Dogu Giris,Sabit Sureli Faz,38.233545173409574,32.246144413948066,Maestro
42-117,Karapinar Emirgazi,Pasif,37.71485180540605,33.58164846897126,Sabit
114,Belh Kavsagi,Pasif,37.895692273837845,32.505379915237434,Sabit
359,Asagi Pinarbasi Kavsagi,Sabit Sureli Faz,38.020690412781654,32.62886345386506,Maestro
290,Sumeyye - Buyukhizmet,Pasif,38.00453304110087,32.531475788205924,Sabit
42-119,Alibeyhuyugu,Sabit Sureli Faz,37.54077474066619,32.675871849060066,Maestro
181181,Araplar,Yesil Dalga,37.884896665849105,32.50653336899554,Master
