Tarih;Konya-Karatay;;;;;
;PM10 ( µg/m3 );SO2 ( µg/m3 );CO ( µg/m3 );NO2 ( µg/m3 );NOX ( µg/m3 );O3 ( µg/m3 )
01.01.2021 00:00:56;121,59;25,32;3.700,58;50,78;180,94;6,04
01.01.2021 01:00:56;113,38;25,93;2.434,00;46,69;131,55;7,13
01.01.2021 02:00:56;78,48;24,69;2.452,88;46,58;103,93;6,18
01.01.2021 03:00:56;84,72;23,42;2.342,48;42,02;93,69;6,37
01.01.2021 04:00:56;80,86;22,07;2.030,33;37,47;88,27;6,91
01.01.2021 05:00:56;77,97;21,41;2.116,88;37,82;78,36;5,38
01.01.2021 06:00:56;63,93;20,55;1.344,95;37,16;73,33;6,38
01.01.2021 07:00:56;63,34;21,08;1.225,15;35,89;84,28;5,92
01.01.2021 08:00:56;70,28;23,46;2.455,03;36,98;152,47;5,95
01.01.2021 09:00:56;100,38;24,34;2.074,11;44,93;163,86;6,03
01.01.2021 10:00:56;90,69;28,00;1.535,62;51,23;126,44;5,37
01.01.2021 11:00:56;72,03;24,91;1.101,37;53,86;88,07;8,68
01.01.2021 12:00:56;56,93;21,07;675,93;35,74;45,04;20,73
01.01.2021 13:00:56;29,34;18,25;487,91;22,70;26,71;31,66
01.01.2021 14:00:56;33,17;16,40;332,88;16,79;20,51;37,29
01.01.2021 15:00:56;21,59;15,38;264,91;14,92;18,22;38,75
01.01.2021 16:00:56;16,07;14,96;278,86;15,82;18,82;41,30
01.01.2021 17:00:56;17,97;14,78;409,53;24,92;28,52;29,45
01.01.2021 18:00:56;34,31;15,70;961,85;55,02;106,29;9,26
01.01.2021 19:00:56;83,41;18,23;2.054,85;56,95;155,45;6,56
01.01.2021 20:00:56;139,14;18,76;1.418,32;63,76;113,04;6,87
01.01.2021 21:00:56;85,97;18,23;1.448,17;59,35;93,41;6,88
01.01.2021 22:00:56;72,55;17,78;1.593,44;52,48;91,47;7,21
01.01.2021 23:00:56;81,66;18,67;2.273,92;50,23;112,86;6,73
02.01.2021 00:00:56;105,24;19,58;3.197,09;46,12;154,68;6,86
02.01.2021 01:00:56;121,31;20,24;3.029,07;45,78;127,39;7,32
02.01.2021 02:00:56;108,14;19,22;1.534,67;41,16;70,70;5,89
02.01.2021 03:00:56;56,90;18,12;1.895,39;36,62;71,42;6,69
02.01.2021 04:00:56;68,45;18,00;2.361,51;36,77;68,13;7,31
02.01.2021 05:00:56;59,62;16,99;2.034,62;35,74;55,06;7,11
02.01.2021 06:00:56;41,41;16,57;2.202,06;35,50;66,73;6,61
02.01.2021 07:00:56;49,14;18,24;3.193,99;36,47;103,15;6,86
02.01.2021 08:00:56;82,28;21,68;5.710,50;38,72;158,93;5,79
02.01.2021 09:00:56;139,86;21,77;5.785,03;45,75;179,53;6,57
02.01.2021 10:00:56;136,48;20,76;4.153,95;62,59;129,71;7,57
02.01.2021 11:00:56;112,83;18,72;2.443,67;61,59;89,51;11,14
02.01.2021 12:00:56;70,07;16,96;1.421,94;58,10;77,25;13,58
02.01.2021 13:00:56;68,45;16,49;658,27;29,27;34,56;29,42
02.01.2021 14:00:56;32,83;15,73;416,51;17,21;20,79;37,65
02.01.2021 15:00:56;16,72;14,82;320,45;13,79;17,07;42,21
02.01.2021 16:00:56;13,07;14,10;277,22;12,84;16,08;40,79
02.01.2021 17:00:56;14,97;14,05;397,62;17,28;20,67;27,65
02.01.2021 18:00:56;34,34;15,28;1.524,19;40,12;57,04;9,83
02.01.2021 19:00:56;120,83;19,36;2.167,19;60,06;212,07;8,58
02.01.2021 20:00:56;134,41;21,65;3.430,77;56,45;233,51;8,60
02.01.2021 21:00:56;167,90;23,76;4.686,06;55,40;220,97;8,28
02.01.2021 22:00:56;176,34;24,50;4.720,16;49,66;183,23;7,36
02.01.2021 23:00:56;126,66;25,30;4.207,74;48,24;172,80;8,94
03.01.2021 00:00:56;119,72;24,96;3.618,84;44,00;141,28;7,39
03.01.2021 01:00:56;88,72;24,29;3.359,14;41,57;136,39;7,28
03.01.2021 02:00:56;84,72;22,21;3.267,77;37,00;107,14;7,49
03.01.2021 03:00:56;84,24;24,23;3.359,66;38,66;151,70;7,34
03.01.2021 04:00:56;127,66;23,62;2.890,53;34,22;143,16;6,81
03.01.2021 05:00:56;123,21;23,26;3.332,35;32,48;143,58;5,73
03.01.2021 06:00:56;126,48;23,17;4.549,44;29,70;147,82;6,77
03.01.2021 07:00:56;128,79;22,86;3.199,95;36,11;115,98;6,24
03.01.2021 08:00:56;71,93;23,32;2.004,03;35,67;102,18;6,60
03.01.2021 09:00:56;71,28;22,70;1.766,64;42,82;94,44;7,09
03.01.2021 10:00:56;73,69;19,64;923,97;42,45;72,47;3,93
03.01.2021 11:00:56;54,97;17,76;546,93;38,49;52,53;10,47
03.01.2021 12:00:56;40,79;20,12;354,23;35,93;49,65;13,50
03.01.2021 13:00:56;38,97;20,61;421,53;35,77;45,43;15,25
03.01.2021 14:00:56;52,55;20,05;428,58;39,35;49,75;15,08
03.01.2021 15:00:56;58,34;20,02;220,53;31,59;37,18;22,44
03.01.2021 16:00:56;36,14;19,74;220,21;24,89;28,64;23,63
03.01.2021 17:00:56;39,45;18,32;395,78;30,38;34,76;17,43
03.01.2021 18:00:56;59,97;18,08;629,01;45,01;50,45;11,95
03.01.2021 19:00:56;72,52;18,34;574,06;47,67;62,61;8,23
03.01.2021 20:00:56;69,03;18,54;1.040,36;47,41;81,76;6,77
03.01.2021 21:00:56;114,14;19,72;2.387,37;49,83;105,91;6,57
03.01.2021 22:00:56;173,93;23,16;4.447,23;49,96;142,84;8,16
03.01.2021 23:00:56;229,69;25,44;6.102,30;43,32;160,40;7,63
04.01.2021 00:00:56;267,10;27,61;7.534,21;38,75;188,44;8,21
04.01.2021 01:00:56;281,79;27,42;7.691,20;34,08;166,41;8,73
04.01.2021 02:00:56;277,21;26,09;6.778,74;32,94;144,24;8,55
04.01.2021 03:00:56;244,24;25,72;3.819,48;35,35;150,17;8,05
04.01.2021 04:00:56;125,79;24,90;2.673,74;33,89;129,47;7,25
04.01.2021 05:00:56;123,90;24,27;4.192,04;36,60;101,23;6,17
04.01.2021 06:00:56;136,55;24,22;4.482,76;33,36;88,18;7,21
04.01.2021 07:00:56;145,17;25,44;4.224,14;36,60;191,66;6,07
04.01.2021 08:00:56;162,93;29,31;3.484,79;37,28;251,47;5,50
04.01.2021 09:00:56;186,79;35,08;2.656,11;53,84;330,15;7,91
04.01.2021 10:00:56;158,03;28,55;1.942,74;59,25;268,23;7,84
04.01.2021 11:00:56;169,59;25,77;1.760,36;72,91;210,20;8,51
04.01.2021 12:00:56;132,24;21,94;396,41;57,59;108,51;9,03
04.01.2021 13:00:56;67,66;18,67;28,38;46,22;61,76;13,50
04.01.2021 14:00:56;118,12;18,15;15,38;37,49;45,75;17,86
04.01.2021 15:00:56;-;16,62;200,00;25,96;30,32;19,75
04.01.2021 16:00:56;39,60;18,73;200,00;25,70;29,18;19,38
04.01.2021 17:00:56;35,72;16,72;200,00;42,88;52,97;10,88
04.01.2021 18:00:56;63,24;18,55;200,00;56,33;164,95;2,13
04.01.2021 19:00:56;114,22;23,11;200,00;62,78;357,52;4,27
04.01.2021 20:00:56;191,83;28,48;200,00;62,14;508,96;1,70
04.01.2021 21:00:56;250,96;31,45;200,00;62,71;562,31;3,93
04.01.2021 22:00:56;321,07;33,90;200,00;51,51;463,79;4,61
04.01.2021 23:00:56;321,80;33,54;1.614,84;46,22;379,30;4,44
05.01.2021 00:00:56;323,48;30,78;10.826,79;45,43;312,96;0,08
05.01.2021 01:00:56;384,23;31,66;9.985,36;39,19;249,87;1,69
05.01.2021 02:00:56;325,12;29,65;8.135,31;39,60;204,47;2,80
05.01.2021 03:00:56;232,95;24,94;4.388,22;42,35;96,03;0,02
05.01.2021 04:00:56;105,40;21,67;4.210,05;38,99;75,37;0,31
05.01.2021 05:00:56;110,01;20,63;4.075,91;38,98;69,38;0,18
05.01.2021 06:00:56;94,28;19,36;3.373,52;41,04;71,74;2,03
05.01.2021 07:00:56;69,74;18,75;2.528,04;45,60;97,17;6,50
05.01.2021 08:00:56;64,94;17,36;1.590,68;53,37;100,48;8,11
05.01.2021 09:00:56;53,90;18,64;2.899,13;59,54;199,71;9,84
05.01.2021 10:00:56;105,76;16,25;1.482,99;59,10;116,16;10,30
05.01.2021 11:00:56;59,34;15,20;941,20;56,01;86,03;10,90
05.01.2021 12:00:56;49,41;15,05;512,21;49,80;66,35;15,31
05.01.2021 13:00:56;40,41;14,43;202,12;34,07;39,82;21,77
05.01.2021 14:00:56;32,07;13,24;82,68;28,99;34,19;24,96
05.01.2021 15:00:56;32,47;12,41;64,92;25,89;30,24;23,24
05.01.2021 16:00:56;26,52;11,75;321,28;38,20;48,75;11,50
05.01.2021 17:00:56;50,58;12,75;1.090,65;56,91;126,15;6,07
05.01.2021 18:00:56;83,70;11,87;551,41;54,85;70,37;14,95
05.01.2021 19:00:56;36,54;11,37;582,32;55,34;62,46;13,88
05.01.2021 20:00:56;30,13;11,08;548,02;44,93;50,12;11,15
05.01.2021 21:00:56;31,87;11,10;416,30;36,87;41,23;17,07
05.01.2021 22:00:56;30,20;11,39;803,30;39,76;46,99;12,30
05.01.2021 23:00:56;33,26;12,44;940,90;41,12;51,65;14,36
06.01.2021 00:00:56;37,52;13,47;1.436,30;40,44;47,61;14,96
06.01.2021 01:00:56;44,01;13,73;1.396,37;40,42;51,20;12,05
06.01.2021 02:00:56;32,11;14,30;2.360,76;40,39;56,59;11,49
06.01.2021 03:00:56;62,40;14,00;2.629,70;45,28;68,50;12,19
06.01.2021 04:00:56;67,47;14,73;2.049,34;43,76;68,53;11,86
06.01.2021 05:00:56;60,20;14,85;1.745,30;40,18;66,82;13,30
06.01.2021 06:00:56;62,87;14,48;1.682,47;37,15;95,74;13,23
06.01.2021 07:00:56;63,71;16,31;2.293,85;41,44;242,57;11,52
06.01.2021 08:00:56;107,09;23,25;4.505,86;55,33;591,95;12,49
06.01.2021 09:00:56;176,16;20,05;4.606,64;65,38;406,72;8,52
06.01.2021 10:00:56;135,34;17,81;3.683,17;78,07;331,63;6,63
06.01.2021 11:00:56;122,63;15,00;2.084,42;68,83;164,78;7,01
06.01.2021 12:00:56;73,68;13,06;1.413,86;59,21;94,11;10,56
06.01.2021 13:00:56;54,14;12,13;1.033,07;53,04;71,30;9,48
06.01.2021 14:00:56;41,34;11,58;697,68;42,02;50,65;21,94
06.01.2021 15:00:56;31,34;11,37;419,85;22,55;26,37;32,50
06.01.2021 16:00:56;22,13;11,67;435,05;25,74;30,43;30,46
06.01.2021 17:00:56;26,64;11,56;729,11;37,08;42,49;14,80
06.01.2021 18:00:56;67,90;12,83;1.472,80;54,11;126,85;8,79
06.01.2021 19:00:56;124,98;17,72;3.052,08;67,63;366,41;9,30
06.01.2021 20:00:56;155,97;21,04;4.260,31;67,22;533,93;12,68
06.01.2021 21:00:56;203,16;26,54;7.562,48;72,78;744,86;10,92
06.01.2021 22:00:56;276,59;26,25;8.562,70;62,86;641,22;11,19
06.01.2021 23:00:56;283,76;25,60;8.619,03;50,13;532,91;11,92
07.01.2021 00:00:56;265,16;23,80;8.307,74;44,41;391,74;13,83
07.01.2021 01:00:56;252,87;25,56;7.604,53;51,93;429,24;13,57
07.01.2021 02:00:56;247,83;25,39;5.995,02;42,28;384,93;13,63
07.01.2021 03:00:56;202,27;24,68;6.451,10;37,28;352,84;14,29
07.01.2021 04:00:56;189,36;22,68;6.151,06;35,59;254,20;11,58
07.01.2021 05:00:56;148,30;19,60;5.028,40;33,11;139,85;12,74
07.01.2021 06:00:56;96,79;19,15;4.620,32;36,76;140,22;13,29
07.01.2021 07:00:56;109,85;21,21;3.754,71;36,34;219,70;12,64
07.01.2021 08:00:56;138,45;24,80;3.587,14;41,72;296,34;10,86
07.01.2021 09:00:56;170,75;22,02;2.768,64;50,21;261,75;13,09
07.01.2021 10:00:56;140,98;20,70;2.630,51;77,92;272,84;8,80
07.01.2021 11:00:56;169,66;20,77;2.278,57;96,39;268,41;9,44
07.01.2021 12:00:56;175,43;19,49;1.149,24;81,29;156,58;11,40
07.01.2021 13:00:56;120,70;16,85;381,29;55,92;76,79;16,39
07.01.2021 14:00:56;58,61;15,44;95,44;42,70;52,90;21,46
07.01.2021 15:00:56;38,67;14,49;41,43;36,71;43,34;24,42
07.01.2021 16:00:56;35,26;14,08;225,53;51,58;62,56;15,29
07.01.2021 17:00:56;56,17;14,72;909,17;73,64;119,59;8,88
07.01.2021 18:00:56;102,52;16,86;1.760,71;73,88;188,86;8,15
07.01.2021 19:00:56;127,50;18,00;2.032,69;68,72;268,88;12,02
07.01.2021 20:00:56;175,68;19,19;2.086,31;64,77;262,75;12,77
07.01.2021 21:00:56;158,26;19,71;1.930,08;53,59;245,92;13,05
07.01.2021 22:00:56;177,59;22,17;3.367,42;54,61;325,99;11,89
07.01.2021 23:00:56;199,41;22,49;3.997,91;47,48;286,89;13,80
08.01.2021 00:00:56;194,05;23,18;5.913,76;45,91;270,08;9,66
08.01.2021 01:00:56;233,90;22,96;5.634,36;45,05;205,68;11,75
08.01.2021 02:00:56;169,39;19,84;3.430,34;44,95;92,56;12,45
08.01.2021 03:00:56;75,07;18,39;2.390,45;37,65;52,05;12,52
08.01.2021 04:00:56;63,39;19,01;2.030,19;35,78;80,92;9,89
08.01.2021 05:00:56;84,45;19,01;2.001,79;34,53;90,34;9,94
08.01.2021 06:00:56;104,01;17,74;1.778,48;31,79;102,98;10,06
08.01.2021 07:00:56;89,93;17,99;1.872,17;33,77;165,23;8,21
08.01.2021 08:00:56;92,30;21,59;3.213,80;43,27;328,11;8,16
08.01.2021 09:00:56;139,07;21,43;3.219,35;53,33;283,86;6,77
08.01.2021 10:00:56;138,48;20,14;2.217,86;70,29;232,01;6,73
08.01.2021 11:00:56;113,63;16,67;1.106,21;58,68;107,62;9,55
08.01.2021 12:00:56;63,69;14,53;438,47;36,21;47,71;19,74
08.01.2021 13:00:56;31,07;13,75;228,21;27,14;33,67;29,40
08.01.2021 14:00:56;31,67;14,08;146,70;18,64;22,79;40,17
08.01.2021 15:00:56;-;14,48;177,86;17,36;21,18;41,57
08.01.2021 16:00:56;-;17,34;439,71;21,83;26,12;31,94
08.01.2021 17:00:56;43,67;20,33;747,15;39,18;44,80;23,24
08.01.2021 18:00:56;40,78;22,03;1.050,11;61,41;76,79;26,68
08.01.2021 19:00:56;64,28;20,61;988,60;60,76;72,99;44,32
08.01.2021 20:00:56;41,32;20,40;1.298,98;62,92;79,42;42,73
08.01.2021 21:00:56;59,21;19,62;1.148,41;49,51;55,82;44,89
08.01.2021 22:00:56;48,93;18,68;1.509,89;48,23;56,59;10,13
08.01.2021 23:00:56;62,98;18,77;1.964,42;51,65;62,64;13,38
09.01.2021 00:00:56;76,94;15,28;2.178,86;51,65;71,39;6,53
09.01.2021 01:00:56;77,39;14,29;2.678,70;49,98;72,06;7,01
09.01.2021 02:00:56;94,49;14,20;2.183,02;44,54;55,23;6,90
09.01.2021 03:00:56;57,68;13,32;1.466,57;32,38;37,87;4,26
09.01.2021 04:00:56;39,66;12,90;1.041,72;36,25;43,97;2,86
09.01.2021 05:00:56;48,80;12,41;1.074,52;32,21;38,47;7,60
09.01.2021 06:00:56;47,06;12,40;1.140,38;33,52;44,88;7,16
09.01.2021 07:00:56;63,06;13,21;1.115,59;35,60;95,52;3,93
09.01.2021 08:00:56;76,22;13,93;1.158,65;47,43;81,20;4,10
09.01.2021 09:00:56;49,81;12,77;883,34;36,54;57,30;6,38
09.01.2021 10:00:56;34,72;12,68;921,32;41,71;57,82;7,76
09.01.2021 11:00:56;57,28;14,86;416,43;24,46;29,80;25,78
09.01.2021 12:00:56;32,67;17,61;340,53;15,67;19,49;34,38
09.01.2021 13:00:56;28,00;18,49;324,86;12,61;16,31;60,89
09.01.2021 14:00:56;27,21;18,19;358,70;13,73;17,39;51,53
09.01.2021 15:00:56;16,00;18,27;377,41;15,42;19,07;31,37
09.01.2021 16:00:56;16,26;18,11;407,69;15,82;19,14;29,17
09.01.2021 17:00:56;20,53;19,32;541,65;22,24;25,50;25,24
09.01.2021 18:00:56;28,00;19,80;717,63;22,22;25,24;25,44
09.01.2021 19:00:56;27,67;18,97;752,62;21,62;24,86;23,03
09.01.2021 20:00:56;23,07;18,68;630,22;15,82;19,11;46,45
09.01.2021 21:00:56;23,87;18,26;690,48;19,20;22,49;56,05
09.01.2021 22:00:56;23,26;18,28;1.229,91;28,15;31,40;43,63
09.01.2021 23:00:56;42,11;18,65;1.762,33;35,79;39,58;41,30
10.01.2021 00:00:56;57,22;17,16;1.591,86;31,09;34,48;44,73
10.01.2021 01:00:56;46,53;16,68;1.768,89;32,57;36,21;40,22
10.01.2021 02:00:56;53,47;16,64;1.566,76;28,47;31,09;27,34
10.01.2021 03:00:56;44,81;16,28;1.286,13;23,64;27,20;11,25
10.01.2021 04:00:56;27,74;14,54;1.039,31;20,65;24,61;6,26
10.01.2021 05:00:56;23,80;12,76;1.157,70;23,20;27,13;8,67
10.01.2021 06:00:56;20,80;10,95;1.845,08;25,18;29,24;16,02
10.01.2021 07:00:56;18,26;11,26;1.333,87;32,07;41,96;9,99
10.01.2021 08:00:56;22,40;10,67;1.400,26;34,84;49,87;9,29
10.01.2021 09:00:56;28,73;10,48;1.579,32;41,60;61,20;9,58
10.01.2021 10:00:56;39,07;12,05;1.153,15;37,33;45,45;15,33
10.01.2021 11:00:56;40,00;13,75;781,19;26,38;32,47;23,21
10.01.2021 12:00:56;39,67;15,59;456,46;14,64;18,38;33,65
10.01.2021 13:00:56;36,06;16,70;418,49;15,31;19,16;59,07
10.01.2021 14:00:56;51,13;17,25;343,45;13,06;16,16;66,27
10.01.2021 15:00:56;53,53;17,00;312,90;11,58;15,16;71,45
10.01.2021 16:00:56;60,74;16,26;440,53;16,89;20,70;70,91
10.01.2021 17:00:56;57,46;16,21;538,93;26,50;33,16;57,96
10.01.2021 18:00:56;63,47;16,80;620,39;36,89;41,21;41,84
10.01.2021 19:00:56;56,13;17,04;716,50;33,44;38,89;40,67
10.01.2021 20:00:56;59,19;17,67;1.196,31;44,21;59,24;26,96
10.01.2021 21:00:56;76,13;17,35;1.312,04;37,31;43,99;16,74
10.01.2021 22:00:56;82,03;17,80;2.732,47;41,04;78,14;29,74
10.01.2021 23:00:56;138,02;17,16;3.454,85;42,63;87,96;6,73
11.01.2021 00:00:56;121,86;13,59;2.428,09;35,89;80,45;8,39
11.01.2021 01:00:56;90,67;12,12;2.157,48;36,13;67,52;8,06
11.01.2021 02:00:56;95,32;11,57;1.032,71;29,23;61,45;11,48
11.01.2021 03:00:56;218,21;10,77;1.060,60;26,54;53,02;9,91
11.01.2021 04:00:56;92,55;9,69;992,49;24,14;43,50;6,08
11.01.2021 05:00:56;71,41;8,99;1.290,00;26,04;45,24;2,13
11.01.2021 06:00:56;63,99;8,84;1.526,92;28,92;81,96;3,71
11.01.2021 07:00:56;80,25;10,12;1.869,32;32,52;135,28;1,48
11.01.2021 08:00:56;111,60;10,49;1.184,54;34,53;101,94;1,24
11.01.2021 09:00:56;106,40;9,55;1.029,65;35,36;104,49;2,79
11.01.2021 10:00:56;113,19;10,39;1.421,57;41,68;134,42;3,02
11.01.2021 11:00:56;131,59;12,86;2.285,39;55,27;183,72;4,49
11.01.2021 12:00:56;156,91;15,03;3.750,97;71,61;206,94;6,28
11.01.2021 13:00:56;196,74;17,56;3.722,79;78,78;194,99;8,56
11.01.2021 14:00:56;177,61;18,07;1.836,90;61,81;177,48;8,53
11.01.2021 15:00:56;157,07;18,33;1.130,85;55,18;136,44;8,69
11.01.2021 16:00:56;142,68;22,30;1.182,33;49,54;165,82;9,75
11.01.2021 17:00:56;129,09;23,88;3.066,06;60,55;290,04;8,67
11.01.2021 18:00:56;210,58;25,52;4.955,28;71,29;431,08;9,89
11.01.2021 19:00:56;352,48;31,84;7.954,38;89,04;705,53;8,68
11.01.2021 20:00:56;442,35;33,90;8.513,66;87,48;776,91;8,94
11.01.2021 21:00:56;420,78;36,28;9.942,42;90,54;913,86;8,44
11.01.2021 22:00:56;448,78;36,36;12.087,25;83,88;870,56;8,64
11.01.2021 23:00:56;485,31;34,77;12.658,43;80,55;751,07;3,79
12.01.2021 00:00:56;446,29;34,73;12.953,82;70,89;710,34;8,04
12.01.2021 01:00:56;434,35;32,04;13.165,08;61,63;610,21;8,41
12.01.2021 02:00:56;407,17;30,71;11.233,46;54,22;531,91;9,31
12.01.2021 03:00:56;351,55;28,66;10.894,78;50,02;479,11;5,89
12.01.2021 04:00:56;323,07;23,49;8.584,33;42,46;301,07;7,91
12.01.2021 05:00:56;205,58;19,99;5.733,13;40,51;185,12;8,96
12.01.2021 06:00:56;128,41;19,93;4.556,43;39,15;167,50;5,77
12.01.2021 07:00:56;121,52;21,31;4.946,21;41,20;283,10;4,53
12.01.2021 08:00:56;143,33;22,26;4.648,59;45,30;378,78;6,43
12.01.2021 09:00:56;145,82;19,79;3.173,05;52,51;291,04;6,02
12.01.2021 10:00:56;110,37;16,89;622,95;51,07;114,64;5,50
12.01.2021 11:00:56;45,13;16,74;1,61;47,08;83,92;10,97
12.01.2021 12:00:56;47,40;18,38;0,00;35,63;49,90;16,19
12.01.2021 13:00:56;52,27;19,85;0,00;17,56;21,83;19,97
12.01.2021 14:00:56;41,41;19,73;0,00;15,93;20,39;46,09
12.01.2021 15:00:56;32,80;19,77;0,00;15,70;19,94;15,04
12.01.2021 16:00:56;30,79;19,33;4,12;16,23;20,77;18,46
12.01.2021 17:00:56;42,40;18,29;22,10;16,54;20,09;22,34
12.01.2021 18:00:56;47,07;17,28;9,12;19,84;23,59;21,52
12.01.2021 19:00:56;33,74;15,65;0,00;21,23;24,95;20,67
12.01.2021 20:00:56;29,80;15,90;0,00;21,75;25,57;16,02
12.01.2021 21:00:56;26,54;14,68;0,00;14,42;17,97;26,31
12.01.2021 22:00:56;19,80;14,05;0,00;11,64;14,86;52,31
12.01.2021 23:00:56;17,20;13,38;39,62;10,28;13,31;75,84
13.01.2021 00:00:56;20,52;9,53;337,20;8,32;12,04;67,31
13.01.2021 01:00:56;27,87;8,59;201,52;8,07;11,40;66,05
13.01.2021 02:00:56;26,20;8,17;60,21;7,51;10,67;69,71
13.01.2021 03:00:56;28,87;7,87;71,07;6,36;9,51;80,98
13.01.2021 04:00:56;32,22;7,49;104,75;5,95;8,70;83,31
13.01.2021 05:00:56;99,99;7,32;144,43;5,21;7,72;66,06
13.01.2021 06:00:56;15,26;7,43;268,67;7,17;10,80;86,22
13.01.2021 07:00:56;20,52;8,00;331,59;12,60;16,03;87,15
13.01.2021 08:00:56;40,48;7,51;321,86;14,19;17,93;78,03
13.01.2021 09:00:56;19,93;7,15;210,92;11,75;14,99;73,53
13.01.2021 10:00:56;37,56;7,00;124,36;10,20;12,57;52,21
13.01.2021 11:00:56;-;-;-;-;-;-
13.01.2021 12:00:56;100,85;8,17;381,57;10,46;14,36;73,84
13.01.2021 13:00:56;22,19;7,89;478,91;19,23;24,75;50,49
13.01.2021 14:00:56;4,00;4,94;203,73;28,63;33,52;25,07
13.01.2021 15:00:56;4,36;2,34;330,65;44,45;53,06;20,98
13.01.2021 16:00:56;8,00;1,65;214,82;36,69;42,27;14,59
13.01.2021 17:00:56;8,72;0,76;249,28;36,40;40,94;20,54
13.01.2021 18:00:56;15,55;0,63;315,89;44,39;51,09;14,26
13.01.2021 19:00:56;12,27;1,03;757,78;58,44;76,72;5,13
13.01.2021 20:00:56;24,55;1,11;509,21;48,89;60,87;8,52
13.01.2021 21:00:56;18,92;0,96;257,09;30,50;34,07;16,39
13.01.2021 22:00:56;7,82;0,79;63,62;19,75;23,07;22,76
13.01.2021 23:00:56;5,93;1,31;69,33;15,87;19,10;21,95
14.01.2021 00:00:56;5,45;7,90;617,72;16,53;19,72;21,82
14.01.2021 01:00:56;10,27;8,21;708,35;15,73;18,74;14,75
14.01.2021 02:00:56;13,36;7,77;677,05;13,44;16,60;13,09
14.01.2021 03:00:56;16,64;7,68;689,48;14,59;17,42;14,78
14.01.2021 04:00:56;12,82;8,21;575,57;14,55;17,28;16,24
14.01.2021 05:00:56;11,09;8,10;760,66;16,96;20,03;17,09
14.01.2021 06:00:56;13,45;8,23;717,46;26,33;34,58;6,41
14.01.2021 07:00:56;26,37;8,30;591,06;33,17;48,26;4,23
14.01.2021 08:00:56;12,08;8,30;848,49;38,95;69,22;3,89
14.01.2021 09:00:56;35,71;8,66;1.108,17;43,87;86,86;2,47
14.01.2021 10:00:56;63,09;8,98;1.150,12;46,85;91,96;4,93
14.01.2021 11:00:56;64,09;9,06;1.075,32;49,37;84,32;6,28
14.01.2021 12:00:56;64,01;9,19;906,43;47,11;79,27;6,84
14.01.2021 13:00:56;51,29;8,29;684,46;40,01;57,35;14,97
14.01.2021 14:00:56;22,19;8,36;462,12;29,22;35,68;17,46
14.01.2021 15:00:56;5,18;7,98;421,05;28,23;33,73;18,11
14.01.2021 16:00:56;16,28;7,72;435,45;32,66;39,76;19,61
14.01.2021 17:00:56;9,00;8,08;515,14;37,92;45,75;13,74
14.01.2021 18:00:56;10,36;8,09;549,44;44,64;53,35;7,33
14.01.2021 19:00:56;23,55;8,27;684,11;47,54;59,06;5,09
14.01.2021 20:00:56;18,91;8,02;853,28;48,72;62,70;6,10
14.01.2021 21:00:56;18,45;8,47;962,88;44,77;55,13;7,89
14.01.2021 22:00:56;23,18;7,80;787,15;31,34;39,56;12,23
14.01.2021 23:00:56;26,81;8,04;1.422,06;38,69;50,55;10,19
15.01.2021 00:00:56;51,08;8,31;1.948,49;38,69;56,25;8,22
15.01.2021 01:00:56;61,91;8,53;2.201,96;38,50;61,41;4,65
15.01.2021 02:00:56;60,37;8,37;2.298,78;39,53;57,92;4,17
15.01.2021 03:00:56;57,89;9,11;3.485,14;38,47;66,33;5,51
15.01.2021 04:00:56;93,29;8,95;2.236,23;32,23;50,77;3,93
15.01.2021 05:00:56;52,56;7,81;1.130,73;21,96;25,99;11,09
15.01.2021 06:00:56;19,90;8,43;1.118,13;26,95;36,63;6,83
15.01.2021 07:00:56;40,27;11,72;1.273,28;37,17;69,73;6,85
15.01.2021 08:00:56;53,90;12,09;1.445,04;40,65;89,91;5,08
15.01.2021 09:00:56;61,19;10,30;1.122,49;36,44;68,91;7,32
15.01.2021 10:00:56;41,01;8,45;662,79;25,69;38,45;7,23
15.01.2021 11:00:56;21,81;7,67;568,06;22,09;33,25;9,05
15.01.2021 12:00:56;30,09;7,71;642,26;31,40;46,60;9,68
15.01.2021 13:00:56;34,07;8,58;946,41;51,89;84,17;2,64
15.01.2021 14:00:56;63,10;8,21;766,82;48,93;72,06;5,43
15.01.2021 15:00:56;43,64;7,85;708,26;45,80;61,15;10,39
15.01.2021 16:00:56;37,02;7,83;622,33;39,36;49,73;14,79
15.01.2021 17:00:56;7,09;8,09;510,97;43,31;51,46;13,44
15.01.2021 18:00:56;8,27;8,18;513,60;44,12;54,18;8,30
15.01.2021 19:00:56;11,00;7,82;459,09;35,59;41,72;13,74
15.01.2021 20:00:56;10,46;7,39;365,64;20,28;23,81;26,63
15.01.2021 21:00:56;4,82;6,81;295,77;12,68;15,21;33,78
15.01.2021 22:00:56;3,09;6,48;368,30;28,66;32,20;20,97
15.01.2021 23:00:56;4,22;7,16;2.338,55;46,98;52,21;5,75
16.01.2021 00:00:56;7,54;8,19;188,48;32,24;36,24;20,73
16.01.2021 01:00:56;13,09;8,33;213,47;36,46;39,83;13,05
16.01.2021 02:00:56;13,91;7,76;209,86;31,36;35,47;18,06
16.01.2021 03:00:56;13,00;7,64;152,60;24,14;27,50;17,79
16.01.2021 04:00:56;13,45;8,10;468,94;30,33;33,68;10,25
