BolgeAdi;BolgeAdresi;BolgeKapasite;PeronAdi;PeronAdres;peronKapasite;PeronKoordinat;PeronAcilisSaati;PeronKapanisSaati;
KALEÖNÜ;KALEÖNÜ CAD;85;KALEÖNÜ-1;;30;[[32.48714089393616, 37.870656961062544], [32.48702019453049, 37.87117782288828]];800;1900;
KALEÖNÜ;KALEÖNÜ CAD;85;KALEÖNÜ-2;;30;[[32.48702019453049, 37.87119476142242], [32.486920952796936, 37.871592815853596]];800;1900;
KALEÖNÜ;KALEÖNÜ CAD;85;KALEÖNÜ-3;;25;[[32.4868243932724, 37.8720395658719], [32.486926317214966, 37.871586463938065]];800;1900;
ATATÜRK CAD.;ATATÜRK CAD;34;ATATÜRK cad.1;ATATÜRK CAD.;20;[[32.488659024238586, 37.87044946223638], [32.48949587345123, 37.87063578773971]];800;1900;
ATATÜRK CAD.;ATATÜRK CAD;34;ATATÜRK CAD.2;ATATÜRK CAD.;14;[[32.48739838600159, 37.86981849282787], [32.48860001564026, 37.87044522756038]];800;1900;
KARATAY TERMÝNAL;KARATY TERMÝNAL;50;KARATAY TERMÝNAL;;50;[32.5028157234192, 37.8658123462298];800;1900;
FERHUNÝYE;FERHUNÝYE;55;FERHUNÝYE;;55;[32.4892115592957, 37.8767757963752];800;1900;
KÜLTÜRPARK;KÜLTÜRPARK;100;KÜLTÜRPARK;;100;[32.4910408258438, 37.8748703312183];730;2400;
ZÝNDANKALE KATLI;ZÝNDANKALE KATLI;335;ZÝNDANKALE KATLI;ZÝNDANKALE;335;[[[32.4875861406326, 37.8733840341799], [32.487285733223, 37.8736719801077], [32.4871891736984, 37.8737100905138], [32.4868029356003, 37.8737863112669], [32.486577630043, 37.8731680739955], [32.4868780374527, 37.8728928297056], [32.4875861406326, 37.8733840341799]]];0;2400;
YAHYA ÇAVUÞ;YAHYA ÇAVUÞ;27;YAHYA ÇAVUÞ CAD.;YAHYA ÇVÞ.;27;[[32.48438894748688, 37.8748893861139], [32.48384982347488, 37.874616265473385]];800;1900;
BELEDÝYE OTOPARKI;BELEDÝYE OTOPARKI;165;BELEDÝYE OTOPARKI;BELEDÝYE CÝVARI;165;[32.48501658439636, 37.877059494749666];700;2300;
ÝHSANÝYE OTOPARKI;ÝHSANÝYE OTOPARKI;264;ÝHSANÝYE OTOPARKI;BERA ARKASI;264;[32.4817442893982, 37.8779105833171];800;1900;
NÝÞANTAÞI-YENÝÞEHÝR;NÝÞANTAÞI;50;YENÝÞEHÝR-NÝÞANTAÞI;;50;[32.4825382232666, 37.8784695018028];800;1900;
BANDO;BANDO;24;BANDO;;24;[32.4899786710739, 37.8765047998928];800;1900;
KIZILAY HASTANESÝ;KIZILAY HASTANESÝ;150;ÝSTASYON OTOPARKI;;100;[32.4767714738846, 37.8664221754107];0;2400;
KIZILAY HASTANESÝ;KIZILAY HASTANESÝ;150;KIZILAY OTOPARKI;;50;[32.4982184171677, 37.866521695666];800;1900;
NALÇACI-2;NALÇACI-2;48;NALÇACI-4;;22;[[32.494189739227295, 37.88712796226809], [32.49347627162933, 37.88648866821064]];800;1900;
NALÇACI-2;NALÇACI-2;48;NALÇACI AÇIK OTOPARKI;NALÇACI CAD.;26;[32.487465441227, 37.8794475989477];800;1900;
HAZIMULUÞAHÝN MEDAÞ KÖÞE;HAZIMULUÞAHÝN MEDAÞ KÖÞE;32;HAZIMULUÞAHÝN-4;MEDAÞ;32;[32.4820554256439, 37.8761787559285];800;1900;
HAZIMULUÞAHÝN TREN YOLU;HAZIMULUÞAHÝN TREN YOLU;141;HAZIMULUÞAHÝN-5;TREN YOLU CAD.;110;[32.4805748462677, 37.8772881463757];800;1900;
HAZIMULUÞAHÝN TREN YOLU;HAZIMULUÞAHÝN TREN YOLU;141;HAZIMULUÞAHÝN-6;CAMÝ CEPHESÝ;31;[[32.481164932251, 37.8774829231268], [32.48171210289, 37.8774702203109]];800;1900;
TIP ACÝL;TIP ACÝL;56;TIP-5;;25;[[32.4296289682388, 37.8764920969082], [32.4292588233948, 37.8758315386915]];800;1900;
TIP ACÝL;TIP ACÝL;56;TIP-6;;31;[[32.4302405118942, 37.8750820520031], [32.4310129880905, 37.8748957377446]];800;1900;
KONEVÝ AÇIK;KONEVÝ AÇIK;1;KONEVÝ AÇIK;;1;[32.486338913440704, 37.86928491716503];0;30;
TRAFÝK PARKI;TRAFÝK PARKI;1000;TRAFÝK PARKI;TRAFÝK PARKI;1000;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];0;2400;
mevlana çarþý dýþý;mevlana çarþý dýþý;35;MEVLANA ÇARÞI-1;;14;[[32.50175356864929, 37.86955382284318], [32.50168114900589, 37.870210202660445]];800;1900;
mevlana çarþý dýþý;mevlana çarþý dýþý;35;MEVLANA ÇARÞI-2;;21;[[32.50266283750534, 37.87029277906208], [32.5017186999321, 37.87023561079387]];800;1900;
AZÝZÝYE CAD.2;AZÝZÝYE CAD.;14;AZÝZÝYE CAD.2;AZÝZÝYE CAD.AZÝZÝYE CAD;14;[[32.501563131809235, 37.872886477902206], [32.50164359807968, 37.87249901685653], [32.50169187784195, 37.872175072450986]];800;1900;
YIKAMALI;YIKAMALI;10;YIKAMALI;;10;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];0;2400;
